SNP	K	H	CF
400931	0	0	0
824229	0.6168211	0.6206257	0.6167898
1315978	1.2075448	1.2148389	1.2074861
1552281	1.7005934	1.7103184	1.7005186
1813427	2.6583027	2.6771991	2.6581108
2069771	3.0994274	3.1202698	3.0992241
2265913	3.5420377	3.5648391	3.5418228
2541354	4.4554983	4.4866434	4.4551819
3427299	7.2227467	7.3304293	7.2196134
3610073	7.8057828	7.9168647	7.8026232
4207452	9.7872137	9.937546	9.7830185
4330513	10.05265	10.2036868	10.0484522
4900563	12.3363304	12.5395011	12.330548
5334452	14.058014	14.2908208	14.051552
5668310	14.8975312	15.1373855	14.8909903
5891629	15.6469605	15.892431	15.6403635
6008178	16.4582898	16.7103425	16.4516215
6528008	18.1344049	18.414546	18.1271095
7123630	19.9546694	20.2679369	19.9465709
7359421	20.4336163	20.7491776	20.4255032
7702216	21.8448029	22.1802761	21.8363154
8633204	27.3086135	27.9420267	27.2786338
9136628	29.7683259	30.4622165	29.7363667
9924267	32.1841575	32.9363878	32.1503228
10070201	33.2507688	34.0143749	33.2167724
10358588	34.4482791	35.2262241	34.4140539
10847881	36.6674969	37.4946751	36.6318173
11748521	42.3447814	43.4935849	42.2850133
12276692	46.1310606	47.4230865	46.0640965
13139842	48.5472045	49.8975852	48.4783641
13495379	50.8846403	52.2896372	50.8141009
13495418	51.0808413	52.486223	51.0103008
14104253	51.2201997	52.6257757	51.1496589
15522173	54.4654639	55.9762834	54.390385
15712057	55.2879798	56.8055643	55.2128268
15913994	55.5767702	57.0951887	55.5016139
16629399	60.0053958	61.7196857	59.9187486
16848354	61.920034	63.6709733	61.8324524
17211862	63.5272056	65.3039704	63.439071
17878794	66.2545855	68.1056995	66.1637539
18012938	66.9369128	68.7926823	66.8460388
18532958	68.8795357	70.7730336	68.7876858
18772306	70.6740799	72.5997748	70.5814604
19221428	73.235179	75.2264376	73.1403255
19458259	74.3830188	76.3874515	74.2879638
19737683	75.9282633	77.9565701	75.8327168
19990665	77.6194448	79.676347	77.5232541
20547090	79.3087346	81.3941684	79.2119018
20809850	80.175497	82.2684432	80.0785775
21142865	81.8691713	83.9907973	81.7716047
21678477	82.5344611	84.6605131	82.4368552
22221736	84.0047054	86.1523705	83.9066762
22806789	84.8180552	86.9723354	84.7199543
23088778	85.0894004	87.2444168	84.9912967
