SNP	K	H	CF
290174	0	0	0
400931	0.7297757	0.7351012	0.7297239
824229	1.8528648	1.8708026	1.8526242
1315978	3.6727462	3.7237963	3.671703
2265913	5.131882	5.2042199	5.130425
3427299	8.2829953	8.4545627	8.2773829
3610073	9.1462524	9.3252716	9.1405543
4207452	10.3195639	10.5123484	10.3136505
4900563	11.7183017	11.9306483	11.7120237
5668310	14.1480508	14.419411	14.1398647
5891629	15.0818888	15.361969	15.0735942
6008178	15.6450969	15.9283491	15.6367785
7123630	17.2223849	17.5305113	17.2135438
7702216	19.3294637	19.6819748	19.3193775
8456601	23.8312427	24.3861408	23.8090897
8633204	24.172727	24.7287911	24.1505687
9924267	30.6689506	31.645842	30.6108446
10358588	32.9953505	34.0263438	32.9355694
13495418	40.4957518	42.087208	40.3809454
14104253	40.4957519	42.0872081	40.3809455
14761867	40.5855864	42.1771232	40.4707799
15522173	42.0024719	43.6140818	41.8872865
15712057	43.5534962	45.1891589	43.4378137
16848354	48.9864406	50.9166932	48.8496253
17878794	53.2342905	55.3447687	53.0873285
18258898	54.583961	56.7126532	54.4366715
18772306	56.1592494	58.3127528	56.0114391
19221428	58.1753335	60.3694718	58.0264324
19458259	59.1765681	61.3807304	59.0275332
19737683	60.2597197	62.4756133	60.1105154
20266369	61.0219667	63.2436702	60.8727034
20809850	62.4547063	64.6969345	62.3050512
20997826	62.6795579	64.9222917	62.5299013
21399567	64.6122664	66.8923444	64.4616486
21899579	66.5239418	68.840556	66.3723939
22221736	66.8789609	69.1968355	66.727407
22446488	67.442362	69.7634107	67.2907843
23088778	68.7148561	71.0520955	68.5630039
