SNP	K	H	CF
290174	0	0	0
400931	0.5481087	0.5511129	0.5480868
1813427	2.9409102	3.0011475	2.9390657
2069771	3.6820616	3.7477917	3.6801629
3427299	6.727117	6.8855135	6.7214676
3610073	6.9908564	7.1499485	6.9852045
4207452	7.7272655	7.8917804	7.7215604
5668310	10.441048	10.679173	10.4326859
5891629	10.9514769	11.1922072	10.9430971
6008178	11.2743905	11.5161635	11.2660062
6528008	11.7322907	11.9761603	11.7238935
7123630	12.4731772	12.7225358	12.4647258
7702216	13.786899	14.0535143	13.7781456
8456601	18.105856	18.5587736	18.0864402
8633204	19.2346303	19.7002882	19.2150229
9136628	21.8062094	22.3379684	21.7843406
9924267	26.3240711	27.0596637	26.2900064
10358588	29.9906305	30.8605393	29.9500286
10847881	34.2533847	35.3047846	34.2025295
11107344	36.4953779	37.5970263	36.4430231
11748521	40.6961539	41.9740602	40.6339844
12276692	43.499337	44.8557806	43.4342398
13495418	45.5504947	46.9489989	45.4842488
15522173	49.478028	51.0306291	49.4037537
15913994	51.985602	53.601056	51.9092306
16629399	56.1419219	57.9299272	56.0560427
17878794	61.3138585	63.3688775	61.2097285
18012938	61.5050334	63.5604178	61.4009024
18258898	62.3802278	64.4432715	62.2760074
18532958	62.9111089	64.976971	62.8068687
18772306	64.4304218	66.5193634	64.3257144
19221428	66.4322842	68.5612896	66.3265088
19458259	66.7389368	68.8688825	66.6331575
19990665	68.1959161	70.3470868	68.0897249
20266369	68.8091708	70.9641021	68.7029488
20547090	68.9314751	71.0865561	68.8252529
20997826	70.2398029	72.4119991	70.1332822
21399567	71.0224367	73.2007578	70.9158521
21678477	71.2673637	73.4462847	71.1607772
21899579	71.7589366	73.940274	71.6523343
22446488	72.4357163	74.6216338	72.3290726
22806789	73.2657231	75.4585295	73.1590032
23088778	73.5167328	75.7101693	73.4100109
