SNP	K	H	CF
400931	0	0	0
1315978	3.765294	3.906935	3.758217
1552281	4.607391	4.756122	4.600233
1813427	5.257707	5.410667	5.250513
2541354	7.245569	7.438035	7.237329
3610073	11.108702	11.450258	11.092821
4330513	12.929421	13.30412	12.912737
4900563	14.923213	15.337654	14.905474
5334452	16.709201	17.155532	16.690703
5891629	19.283267	19.795827	19.2625
6008178	19.799678	20.314904	19.778893
7123630	24.159106	24.864139	24.127358
7359421	25.054163	25.767207	25.02232
8209329	29.337042	30.233292	29.2948
8456601	30.658582	31.572295	30.616032
9136628	35.120733	36.23329	35.066431
10070201	41.691664	43.234755	41.600174
10358588	42.532599	44.082762	42.44103
10847881	46.023457	47.695381	45.926242
11748521	49.017553	50.77907	48.916773
12276692	49.423502	51.186666	49.322713
14761867	49.786361	51.550843	49.685566
15712057	50.510538	52.280264	50.409692
15913994	51.245494	53.020621	51.144595
16848354	55.414542	57.363278	55.304048
17211862	56.822468	58.791024	56.711602
17878794	59.919278	61.983675	59.804468
18258898	60.574375	62.643063	60.459527
18532958	61.204743	63.277405	61.089862
19221428	65.426186	67.676842	65.301345
19990665	68.579512	70.929537	68.450507
20266369	69.455738	71.81344	69.326643
20547090	70.352127	72.717864	70.222937
20997826	71.744874	74.130005	71.615323
21142865	71.744874	74.130005	71.615323
21399567	72.688402	75.082436	72.55874
21678477	73.260141	75.657443	73.130453
22221736	75.572478	78.02323	75.441145
22446488	76.610006	79.071522	76.478524
23211977	78.068943	80.551742	77.937048
