SNP	K	H	CF
290174	0	0	0
400931	0.6448735	0.649032	0.6448377
824229	2.1510625	2.177904	2.1505715
1813427	8.0372942	8.409815	8.0099815
2069771	9.3102889	9.699013	9.2827014
2541354	10.4250649	10.826216	10.3972928
3427299	10.6713406	11.073098	10.6435664
3610073	10.6713407	11.073098	10.6435665
4207452	10.6713408	11.073098	10.6435666
4330513	10.6713409	11.073098	10.6435667
4900563	10.671341	11.073098	10.6435668
5334452	10.8972979	11.299566	10.8695222
5668310	12.032555	12.44771	12.0045844
6008178	12.4849048	12.902106	12.4569218
7123630	15.2143451	15.706007	15.183659
7359421	15.7473983	16.241902	15.716692
8209329	20.2883048	20.988724	20.2452161
8456601	21.5128544	22.228267	21.4695211
8633204	22.5122291	23.237629	22.4687627
9136628	24.9199374	25.703285	24.8746143
9924267	28.9713239	29.91863	28.9171921
10847881	36.3230369	37.808884	36.2170434
11748521	40.3468707	41.994455	40.2322462
12276692	41.1644409	42.818709	41.0497436
13495379	41.164441	42.818709	41.0497437
13495418	41.1644411	42.81871	41.0497438
14244642	41.1644412	42.81871	41.0497439
14761867	41.4242483	43.079192	41.3095487
15712057	44.2058849	45.938163	44.0883244
15913994	44.7422014	46.477356	44.6246203
16848354	49.4214297	51.375217	49.2903067
17211862	51.78329	53.792841	51.6504142
17878794	54.4487138	56.529276	54.3133203
18012938	54.8791305	56.961545	54.7437263
18258898	55.393283	57.478341	55.2578607
18532958	57.7081836	59.84681	57.5711109
19221428	60.8673134	63.105675	60.7260536
19458259	61.7067872	63.952195	61.5654485
19990665	63.5821009	65.862669	63.4398841
20547090	64.9941551	67.294659	64.8515632
20997826	67.1208045	69.466522	66.9769325
21399567	67.8914375	70.243093	67.7475045
21678477	68.5380728	70.89391	68.3941038
22221736	69.6692756	72.037907	69.5251136
22446488	70.9796372	73.365438	70.8351755
22806789	71.6548575	74.045217	71.5103548
23088778	72.8785048	75.283836	72.7337579
