SNP	K	H	CF
290174	0	0	0
824229	1.49743	1.51985	1.496983
1315978	3.932177	4.013854	3.92981
1552281	5.528592	5.635749	5.525683
1813427	5.913687	6.022328	5.910771
2069771	6.42339	6.534628	6.420455
2265913	6.846702	6.959732	6.843758
2541354	7.592705	7.7113	7.589705
3427299	9.62885	9.788892	9.624726
3610073	10.514073	10.681951	10.509857
4330513	11.348867	11.523714	11.344573
4900563	12.943051	13.143307	12.938218
5334452	15.061888	15.307026	15.055789
5668310	15.654184	15.90283	15.648057
6528008	17.067896	17.336525	17.061393
7359421	19.277278	19.594705	19.26934
7702216	20.06589	20.389536	20.057886
8209329	24.691644	25.228961	24.670554
8633204	27.183912	27.783317	27.160763
9136628	29.488504	30.141003	29.463728
10070201	35.478417	36.488851	35.42539
10358588	36.927232	37.958653	36.873799
11748521	45.875009	47.70282	45.729008
12785230	46.698573	48.533167	46.552498
13495379	46.698573	48.533167	46.552498
13495418	46.698573	48.533167	46.552498
15712057	48.198251	50.055332	48.051726
16848354	55.488861	57.875598	55.291739
17211862	56.470214	58.866581	56.272966
17878794	58.807815	61.258807	58.608868
18012938	59.826563	62.287932	59.627475
18258898	60.974386	63.448929	60.775097
18772306	63.364247	65.895883	63.163142
19458259	64.791335	67.343334	64.589843
19990665	67.428967	70.050504	67.225034
20266369	68.125783	70.752176	67.921806
20547090	69.240224	71.879035	69.036062
20809850	70.273824	72.923318	70.069515
20997826	70.709921	73.361316	70.505601
21142865	70.837842	73.489401	70.633522
21399567	71.513142	74.169262	71.308781
21678477	72.377175	75.04076	72.172728
22221736	74.618116	77.331902	74.412171
22446488	76.927466	79.694564	76.719882
22806789	78.295977	81.081802	78.088053
23088778	80.002764	82.817713	79.794177
23211977	80.16912	82.984346	79.960532
