SNP	H
290174	0
400931	1.169359
824229	2.138457
1315978	3.480479
1552281	4.223578
1813427	4.625115
2265913	5.673805
2541354	7.109419
3427299	10.285757
3610073	11.350434
4207452	13.113546
4330513	13.30823
5334452	17.133469
5668310	18.491031
6008178	19.117279
6528008	20.374153
7359421	21.377263
7702216	22.406623
8209329	26.039557
8456601	27.420869
8633204	28.931545
9136628	32.516621
9924267	35.535474
10070201	36.603675
10358588	37.916835
11107344	44.561327
12276692	49.629438
13495379	50.016736
13495418	50.070935
14104253	50.070936
15712057	52.210811
15913994	52.941857
16629399	55.922248
16848354	57.100574
17211862	58.635614
17878794	60.061938
18258898	62.544094
18772306	64.942641
19737683	68.018126
19990665	69.086221
20547090	71.594392
20809850	72.763939
20997826	73.515216
21142865	73.867158
21399567	73.88518
21678477	75.264067
21899579	76.139823
22221736	76.845206
22446488	78.142684
23088778	79.746543
23211977	80.179871
