SNP	K	H	CF
176156	0	0	0
498807	4.208164	4.385041	4.198297
1172482	9.492273	9.947851	9.462952
1447413	10.141883	10.60168	10.112525
1788467	11.428465	11.904814	11.398823
1986922	12.047164	12.52734	12.01749
2033717	12.177557	12.657904	12.147884
2324211	12.832507	13.317143	12.802796
2918308	13.168671	13.654437	13.138955
3520754	13.280568	13.766459	13.250851
4778556	13.729091	14.216994	13.699362
4811650	13.8409	14.328928	13.811171
5627965	15.875755	16.405178	15.844905
5682223	15.992747	16.522307	15.961897
6809099	21.974342	22.860846	21.915357
6809112	22.052262	22.938826	21.993277
7048904	23.337159	24.240232	23.277892
7400522	25.602571	26.556947	25.541757
8796903	31.401114	32.69097	31.314649
9057864	31.401114	32.69097	31.314649
9461465	32.059526	33.353717	31.973022
9792570	33.834628	35.160322	33.74738
10005836	35.447245	36.79894	35.359438
10365194	36.790923	38.16067	36.702793
10556376	37.741952	39.120743	37.653707
11029317	38.754245	40.143284	38.665862
11193105	39.030174	40.419974	38.941789
11537081	39.444517	40.836034	39.356122
12335750	42.126899	43.590333	42.035938
12520610	43.051982	44.523973	42.960916
12717797	43.72556	45.202088	43.634452
13007536	44.591205	46.075226	44.500011
13156699	44.960861	46.446248	44.86966
13659835	45.184831	46.67072	45.093629
13796827	45.542387	47.029555	45.451179
15097876	48.828437	50.423508	48.732518
15782230	51.214582	52.866568	51.116855
15980603	51.958716	53.61624	51.860935
16325026	53.526477	55.208575	53.428182
16600230	54.406331	56.096171	54.307946
16858265	55.243151	56.939992	55.144687
17124023	55.884051	57.585	55.785553
17729906	57.042316	58.756679	56.94361
18324318	59.659108	61.441916	59.558019
19006196	62.291895	64.143987	62.18838
19582242	64.69566	66.60551	64.590297
