SNP	K	H	CF
176156	0	0	0
757335	11.05727	12.27006	10.88536
988154	11.94062	13.16121	11.76862
1172482	14.66164	15.95624	14.48696
1788467	17.9496	19.35223	17.7702
1986922	19.78898	21.22544	19.60876
2033717	19.93085	21.36751	19.75062
2324211	21.3495	22.80628	21.16889
2918308	21.49145	22.94843	21.31084
3036262	21.75219	23.20985	21.57158
3520754	21.75219	23.20985	21.57158
4344527	21.88248	23.34031	21.70186
4778556	22.01275	23.47075	21.83214
5469974	22.40413	23.86366	22.22351
5627965	22.40413	23.86366	22.22351
5682223	22.53702	23.99672	22.3564
6044749	24.42309	25.91836	24.24157
6809099	28.63953	30.31238	28.44809
6809112	28.63953	30.31238	28.44809
7048904	29.55528	31.23651	29.36374
7400522	30.86649	32.56491	30.67465
7633698	31.54187	33.24485	31.34999
8225326	34.11081	35.87975	33.91667
8561080	34.81499	36.5889	34.62081
9461465	36.99211	38.8134	36.79655
9792570	39.03093	40.89378	38.83425
10365194	41.94357	43.8912	41.7436
10556376	42.99119	44.9498	42.79107
10811132	43.51349	45.47482	43.31335
11029317	43.90486	45.86773	43.70472
11537081	45.88043	47.88232	45.67926
12019213	47.87622	49.91793	47.67399
12717797	52.67968	54.95177	52.46281
13156699	54.47913	56.78359	54.26148
13659835	55.30463	57.61591	55.08691
13796827	55.30463	57.61591	55.08691
14053664	55.82688	58.14088	55.60913
14129620	55.82688	58.14088	55.60913
14844195	56.34907	58.6658	56.13131
15097876	57.39628	59.72398	57.17837
15980603	60.71115	63.14865	60.4884
16325026	61.2332	63.67342	61.01043
17124023	62.80858	65.27361	62.58529
17729906	64.91485	67.42424	64.69032
18324318	67.06162	69.61708	66.83577
19006196	71.81655	74.59776	71.57649
19091793	72.61905	75.4067	72.37892
19582242	74.89104	77.73029	74.64935
