SNP	K	H	CF
498807	0	0	0
757335	1.654372	1.681737	1.653769
988154	3.077538	3.125154	3.076551
1986922	8.702972	9.066378	8.678545
2033717	9.010168	9.374517	8.985737
2918308	10.230257	10.60949	10.205584
3036262	10.351034	10.730414	10.326361
3042043	10.351034	10.730414	10.326361
3520754	10.351035	10.730414	10.326362
4778556	11.03535	11.419413	11.010634
5682223	11.654437	12.042332	11.629689
6044749	13.185756	13.597097	13.16053
6970449	19.088051	19.846957	19.035786
7048904	19.32391	20.083371	19.271642
7400522	21.794638	22.61512	21.740365
7633698	23.358749	24.203691	23.303966
8561080	28.020323	29.082254	27.95215
8796903	28.020323	29.082254	27.95215
9057864	28.155489	29.217603	28.087315
9461465	29.245728	30.319727	29.177382
10365194	32.678138	33.869859	32.604425
11193105	34.815556	36.052948	34.740543
11537081	35.514248	36.756522	35.43919
12019213	38.23033	39.546339	38.152608
12520610	40.314507	41.673941	40.23558
13007536	42.73304	44.150945	42.652232
13156699	43.065983	44.484996	42.98517
13659835	45.196627	46.661023	45.114527
14053664	46.491851	47.973021	46.409461
14844195	48.640749	50.168083	48.557038
15097876	49.239794	50.770716	49.156055
15445245	50.671969	52.223399	50.587838
15782230	51.984764	53.553426	51.900331
16858265	56.292804	58.04683	56.19779
17124023	57.214347	58.976864	57.119228
17729906	58.553702	60.334157	58.458264
17766645	58.664514	60.445091	58.569075
18324318	59.749011	61.541348	59.653402
19006196	62.304337	64.161943	62.206509
19091793	62.815688	64.675908	62.717842
