SNP	K	H	CF
176156	0	0	0
498807	3.426746	3.54408	3.421406
1447413	8.690912	9.08485	8.666334
1986922	10.791991	11.23006	10.766179
2324211	12.554521	13.02365	12.527979
2918308	13.035235	13.50668	13.008679
3042043	13.035235	13.50668	13.008679
4344527	13.035236	13.50668	13.00868
4811650	13.035236	13.50668	13.00868
5469974	13.143519	13.61508	13.116962
5627965	13.360228	13.83225	13.33367
5682223	13.360228	13.83225	13.333671
6044749	13.957519	14.43311	13.930933
6809099	16.864921	17.425	16.83507
6809112	16.864921	17.425	16.83507
7048904	17.836954	18.40648	17.80698
7400522	18.927144	19.50855	18.896997
7633698	19.907658	20.49868	19.877385
8225326	21.897518	22.52812	21.866196
8561080	22.512183	23.14657	22.480831
8796903	23.061301	23.6987	23.029927
9057864	23.931466	24.57644	23.900004
9461465	25.237178	25.8992	25.205419
9885676	27.893194	28.62572	27.858944
10365194	30.68249	31.49278	30.645355
10811132	32.076228	32.90594	32.038732
11029317	32.266351	33.09643	32.228855
11193105	32.733286	33.56554	32.695777
11537081	33.457244	34.29474	33.419684
12520610	39.987281	41.24998	39.913214
12717797	40.743876	42.0123	40.669752
13007536	42.465771	43.76384	42.390968
13659835	44.257673	45.58785	44.182103
13796827	44.257673	45.58785	44.182103
14053664	44.766398	46.09916	44.69081
14844195	46.623703	47.99095	46.547263
15445245	48.481428	49.88318	48.404134
15782230	50.656834	52.1059	50.57817
16600230	54.122288	55.69135	54.038102
16858265	55.088185	56.66657	55.003878
17124023	55.433899	57.01348	55.349586
17729906	57.006837	58.61116	56.922006
17766645	57.320205	58.92551	57.23537
18324318	59.563593	61.21921	59.477256
19006196	62.340746	64.07345	62.251562
19091793	62.964946	64.70154	62.87573
