SNP	K	H	CF
176156	0	0	0
498807	6.399437	6.807852	6.365055
1172482	9.301791	9.794395	9.264161
1986922	12.385763	12.973415	12.344236
2324211	14.474844	15.106127	14.432104
3036262	15.335411	15.974099	15.292586
4344527	15.335411	15.974099	15.292586
4811650	15.45508	16.093912	15.412255
5627965	16.381465	17.028878	16.338534
5682223	16.381466	17.028878	16.338534
6044749	16.881021	17.530929	16.838073
6809099	20.853844	21.66142	20.802588
6809112	20.853844	21.66142	20.802588
6970449	21.780151	22.596307	21.728789
7400522	23.339912	24.180393	23.288045
7633698	23.936155	24.78019	23.884259
8225326	25.49606	26.364424	25.443659
8561080	27.167425	28.063719	27.114402
9792570	29.957934	30.932057	29.902023
10005836	30.999435	31.984404	30.943373
10811132	34.611893	35.727247	34.549578
11029317	35.084099	36.201683	35.02177
11537081	36.61533	37.756357	36.552523
12019213	38.962231	40.158318	38.897704
12335750	40.996729	42.234195	40.931081
13007536	44.997728	46.395104	44.923595
13659835	46.056721	47.465311	45.982429
13796827	46.432889	47.842894	46.35859
15445245	51.208402	52.846116	51.119713
15782230	52.895717	54.561896	52.806388
15980603	53.126292	54.793003	53.036962
16325026	54.212068	55.890567	54.122568
16600230	56.048852	57.761081	55.958526
17729906	58.958157	60.754979	58.864559
17766645	58.958157	60.754979	58.864559
18324318	59.884187	61.689584	59.790483
19091793	62.826572	64.718495	62.729483
