SNP	H
498807	0
988154	2.539315
1986922	7.74191
2033717	8.007883
2324211	9.354438
3036262	10.151852
3042043	10.151852
3520754	10.151852
4344527	10.269016
4778556	10.386131
5469974	11.445726
5627965	11.562923
5682223	11.797322
6809099	16.611654
6809112	16.611654
6970449	17.021258
7048904	17.446085
7633698	21.595785
8225326	24.406773
8561080	25.94325
9792570	29.579475
9885676	29.939385
10005836	32.365821
10556376	34.852174
10811132	36.546432
11029317	37.133493
12019213	39.909282
12335750	41.798587
12520610	42.613703
13007536	44.348901
13156699	44.729875
13659835	45.878846
14053664	47.113537
14844195	48.472656
15097876	49.410586
15445245	50.884183
16600230	56.440267
16858265	58.208522
18324318	60.473658
19006196	62.291845
19091793	62.416291
19582242	63.249328
