SNP	K	H	CF
176156	0	0	0
498807	5.17054	5.43741	5.152304
757335	7.717468	8.049178	7.697035
988154	8.788308	9.131484	8.767711
1172482	10.443165	10.813722	10.421964
1788467	13.68418	14.159705	13.658459
1986922	13.87959	14.355496	13.853868
2033717	14.330169	14.808106	14.304435
2324211	16.255088	16.770069	16.228404
3036262	17.438378	17.96736	17.411474
3042043	17.438378	17.96736	17.411474
3520754	17.438379	17.96736	17.411474
4778556	17.94664	18.478205	17.919718
4811650	17.94664	18.478205	17.919718
5469974	18.454918	18.989066	18.427978
5627965	18.708894	19.243688	18.681953
6044749	21.34852	21.952957	21.319133
6809099	25.208	25.961246	25.170993
6809112	25.208	25.961246	25.170993
6970449	26.680306	27.455225	26.642874
7048904	26.792579	27.567624	26.755147
7633698	28.528183	29.333345	28.490054
8225326	31.864147	32.780513	31.82109
8561080	32.492514	33.412829	32.449424
8796903	32.943055	33.8654	32.899953
9057864	33.188924	34.111873	33.14582
9461465	33.669751	34.595012	33.626632
10556376	36.805089	37.828589	36.757877
10811132	37.881439	38.916523	37.83406
11537081	39.217195	40.27012	39.169499
12335750	43.222737	44.435934	43.166527
12520610	43.222737	44.435934	43.166527
13007536	45.264521	46.519395	45.207178
13156699	45.941047	47.200498	45.883663
13659835	46.399753	47.661308	46.342355
13796827	47.207347	48.475424	47.14988
14129620	52.025651	53.52553	51.953406
15097876	57.673573	59.491766	57.577607
15445245	58.408888	60.232488	58.31287
15782230	59.532094	61.368308	59.435887
16325026	61.105597	62.966567	61.008872
16600230	61.340213	63.201733	61.243485
17124023	63.596908	65.509338	63.498652
17729906	65.525312	67.47492	65.4261
17766645	65.525312	67.47492	65.4261
18324318	66.702163	68.66562	66.602735
19006196	68.354626	70.345383	68.254596
19582242	70.818743	72.870195	70.716723
