SNP	K	H	CF
498807	0	0	0
988154	2.385576	2.442464	2.38377
1172482	3.775991	3.852209	3.773826
1788467	8.386572	8.675065	8.37145
1986922	10.191289	10.512344	10.175384
2918308	13.799711	14.25086	13.777574
3036262	13.914747	14.366028	13.892609
3042043	14.02543	14.476834	14.003293
4778556	14.246946	14.69884	14.224807
5469974	14.918596	15.375002	14.896417
5682223	15.4297	15.888718	15.407503
6809099	24.028707	25.223537	23.924156
6809112	24.132327	25.327265	24.027776
6970449	25.47164	26.684514	25.366769
7633698	29.303482	30.663042	29.191153
8225326	32.594257	34.062031	32.477197
8561080	34.029466	35.517836	33.912013
9057864	34.163617	35.652167	34.046163
10556376	42.324636	44.476271	42.136583
10811132	43.073707	45.230953	42.885598
11029317	43.651462	45.812046	43.463327
11193105	44.101195	46.263802	43.913048
11537081	44.985547	47.155974	44.797308
12019213	46.147348	48.331272	45.9589
12335750	47.498973	49.701163	47.310195
12520610	49.1117	51.339895	48.922364
12717797	49.836877	52.070331	49.64749
13007536	51.664104	53.930938	51.473905
13156699	51.664104	53.930938	51.473905
13659835	51.664104	53.930938	51.473905
14844195	53.338673	55.633543	53.147848
15782230	56.339422	58.724283	56.145008
15980603	56.829683	59.216948	56.635253
16858265	58.750476	61.174626	58.555102
17124023	59.075283	61.500488	58.879905
17729906	60.500071	62.945573	60.304307
17766645	60.964878	63.412541	60.769101
19006196	66.26968	68.998226	66.05422
19582242	68.178443	70.943413	67.962057
