SNP	K	H	CF
27343	0	0	0
271377	1.077815	1.089431	1.077648
778236	5.002859	5.168377	4.994679
1384732	8.777688	9.085564	8.762377
1603469	9.581251	9.895584	9.565871
1917139	10.425097	10.74655	10.409637
2229415	11.547666	11.88172	11.532017
2287470	11.547667	11.88172	11.532017
2904105	12.332015	12.67222	12.316301
3162852	13.712546	14.071808	13.696482
3619476	14.954009	15.328682	14.93769
4233682	15.869796	16.252855	15.853375
4448082	15.869796	16.252855	15.853375
5010563	16.65424	17.043452	16.637754
5799941	18.762608	19.196259	18.744875
6055546	19.335945	19.772883	19.318187
6519202	21.659612	22.150525	21.640185
6801277	21.659613	22.150525	21.640185
7340989	22.81224	23.316437	22.792608
7813295	24.548326	25.082657	24.527997
9358168	33.817554	35.206194	33.694548
9881268	35.871544	37.302361	35.747385
10782718	43.322125	45.306012	43.144015
10934107	43.595637	45.580271	43.417524
11648803	43.595637	45.580271	43.417524
12578089	43.595637	45.580271	43.417524
13445912	43.915616	45.901275	43.737499
13784419	45.687154	47.704189	45.508296
13848611	45.840826	47.858097	45.661968
14139628	47.189262	49.224714	47.010077
14894827	49.386577	51.470295	49.20598
15282634	51.415316	53.540181	51.233608
15878281	54.620867	56.848417	54.434785
16816665	58.448751	60.822686	58.255234
17115580	59.585548	61.972404	59.391835
17591339	60.275283	62.666897	60.081527
17959456	62.062894	64.486457	61.868377
18089003	62.340859	64.765194	62.146339
18638175	64.716638	67.197395	64.520334
18707445	64.846722	67.327648	64.650417
19697188	67.088498	69.619663	66.890694
19723111	67.218674	69.750009	67.020871
20097401	67.610101	70.142967	67.412289
20300339	68.394623	70.933644	68.196747
20788561	69.309106	71.856489	69.111128
21294493	71.151857	73.73319	70.953046
21901746	74.018843	76.682327	73.8169
22203115	75.507802	78.193453	75.30542
22280040	76.030027	78.718405	75.827625
23058019	78.218872	80.955145	78.015074
23447475	79.716478	82.475176	79.512234
24070109	80.873358	83.645438	80.668907
24531404	82.503811	85.30247	82.298782
25612289	86.024573	88.947087	85.813754
25683652	86.346955	89.270509	86.136132
25899673	87.899892	90.847559	87.68857
26040116	89.483494	92.456234	89.271643
26783646	97.168326	100.729322	96.897354
