SNP	K	H	CF
508090	0	0	0
778236	1.504698	1.527335	1.504244
1166716	3.3723	3.429809	3.370979
1384732	3.973356	4.034477	3.972006
1603469	4.570178	4.634861	4.568799
1917139	5.003965	5.070531	5.002576
2229415	6.065074	6.142898	6.063525
2904105	6.417068	6.496131	6.415514
3619476	8.325274	8.44074	8.322795
4233682	10.574939	10.740998	10.570944
4448082	10.688774	10.854963	10.684779
5535964	12.68439	12.890393	12.679337
5799941	13.069946	13.277436	13.064886
6801277	15.87701	16.163255	15.86901
7813295	19.825757	20.267766	19.809598
8427379	22.892459	23.428455	22.872469
9881268	28.858439	29.749523	28.810532
13096724	32.169956	33.170622	32.117229
13848611	33.729453	34.754435	33.676221
14139628	34.526631	35.557968	34.473331
14303285	34.743268	35.775074	34.689967
14577084	35.285844	36.320594	35.232522
14894827	36.427314	37.475092	36.373794
15282634	37.90124	38.97074	37.847293
15466566	38.55263	39.626372	38.498646
15878281	40.559302	41.673301	40.504243
16583743	44.344815	45.601978	44.282563
16816665	45.218032	46.48282	45.155692
17115580	46.532133	47.814187	46.46949
17959456	49.167088	50.518541	49.102013
18089003	49.73056	51.085187	49.665461
18707445	52.042622	53.450687	51.975879
19320777	53.318073	54.742403	53.251053
19697188	54.078577	55.508691	54.011498
20300339	55.645792	57.100464	55.578201
20788561	56.392008	57.852248	56.324361
21294493	58.891909	60.414618	58.822185
21757545	61.261821	62.840673	61.190325
21901746	62.870588	64.475318	62.798538
22203115	64.262937	65.88705	64.190527
23272788	66.901537	68.59524	66.826685
23796622	69.081767	70.822989	69.005536
24070109	69.733205	71.47867	69.656937
24531404	71.18633	72.952909	71.109653
24757037	71.742166	73.511834	71.665466
25612289	74.216048	76.046892	74.137335
25683652	74.216049	76.046892	74.137335
25899673	75.205001	77.045625	75.126159
26040116	75.965162	77.811564	75.886261
