SNP	K	H	CF
27343	0	0	0
778236	4.565069	4.773178	4.552489
1166716	7.816601	8.13036	7.799456
1603469	9.045794	9.374662	9.028402
2287470	11.652598	12.049389	11.632851
2904105	12.758386	13.167403	12.738458
3619476	14.725829	15.173545	14.704888
4448082	15.977104	16.440476	15.955902
5010563	17.221284	17.700134	17.199825
5535964	18.129678	18.616779	18.10812
6055546	18.95776	19.451718	18.936125
6519202	20.271707	20.782927	20.24977
6801277	20.722101	21.23535	20.700152
7047330	21.75657	22.28052	21.734474
7340989	23.085215	23.626815	23.062806
9358168	33.298151	34.875618	33.139361
9547224	33.838853	35.419244	33.680042
9881268	35.495034	37.10285	35.335619
10488859	38.891608	40.614702	38.726992
10934107	39.794604	41.525851	39.629889
11639432	39.906992	41.638366	39.742277
12578089	39.906992	41.638366	39.742277
13096724	39.906992	41.638366	39.742277
13211824	40.131946	41.863825	39.967229
13784419	40.789878	42.526086	40.625124
13848611	40.920849	42.657229	40.756094
14139628	42.193028	43.945591	42.027999
14303285	42.332901	44.08566	42.167872
14577084	42.500224	44.253263	42.335195
15282634	46.217699	48.108806	46.045857
15466566	46.787634	48.68199	46.615768
16093796	51.817491	53.964415	51.628827
16583743	56.92762	59.335225	56.721347
17115580	59.03408	61.486044	58.826563
17591339	60.816391	63.300115	60.60812
17959456	62.074259	64.573803	61.865723
18638175	64.21297	66.758242	64.003132
18707445	64.336591	66.882015	64.126753
19320777	65.962631	68.534491	65.75222
19697188	66.300326	68.873326	66.08991
19723111	66.412652	68.985777	66.202235
20788561	68.77982	71.40896	68.567639
21757545	72.293252	75.045732	72.075317
21901746	72.839157	75.594618	72.6212
22203115	73.98479	76.753374	73.766633
23058019	76.792651	79.640034	76.571551
23447475	78.165519	81.031748	77.944075
23796622	78.552356	81.420081	78.330904
24757037	80.940207	83.864929	80.716944
25612289	82.5938	85.545861	82.369935
25683652	82.593801	85.545861	82.369935
25899673	83.297605	86.254619	83.073693
26783646	88.276225	91.480697	88.036021
