SNP	H
27343	0
271377	1.490921
1166716	5.978766
1384732	6.479216
1917139	8.295383
2229415	8.938614
2736279	10.103649
3162852	10.916317
3619476	12.851374
4233682	14.305974
4448082	14.838087
5010563	16.492515
5337548	17.079791
5535964	17.337452
5799941	18.373978
6055546	19.530841
6519202	21.197411
7047330	23.153875
7340989	25.59505
7813295	27.011961
8427379	30.300047
9547224	38.957134
9881268	40.889617
10488859	43.888695
10782718	44.123007
10934107	44.279161
11639432	44.591969
11648803	44.591969
12578089	44.591969
13096724	44.591969
13211824	44.59197
13445912	44.59197
13784419	45.296929
13848611	45.296929
14577084	46.712121
14894827	47.063958
15282634	47.415862
15466566	47.533003
16583743	47.533008
17115580	47.533014
18638175	47.533014
19320777	47.926565
19723111	48.640892
20097401	49.573959
20788561	51.189929
21294493	52.680182
21757545	54.696744
21901746	55.516806
22203115	56.871158
23058019	61.140151
23796622	64.021713
24070109	64.844924
24531404	67.18073
24757037	68.278207
25612289	72.281842
25899673	74.142244
26040116	75.530276
26354551	78.377912
