SNP	K	H	CF
27343	0	0	0
508090	3.932459	4.086943	3.924401
1603469	8.762278	9.149671	8.739336
1917139	9.47133	9.86375	9.44834
2229415	10.264054	10.662758	10.240998
2287470	10.264054	10.662758	10.240998
2736279	11.276496	11.68545	11.253302
3162852	11.81616	12.228026	11.792945
4233682	13.823472	14.27562	13.79918
4448082	14.20996	14.663602	14.18566
5010563	15.784079	16.262495	15.75926
5535964	16.983385	17.476184	16.958336
6055546	18.358405	18.870108	18.333009
6519202	19.280313	19.800515	19.254814
7047330	20.233316	20.762599	20.207701
7340989	21.280785	21.82104	21.255017
7813295	22.884454	23.450421	22.858137
8427379	25.620773	26.261577	25.591732
9358168	30.295113	31.154094	30.252572
10488859	33.901933	34.890893	33.853168
10782718	34.408445	35.399971	34.359663
10934107	35.38211	36.383115	35.333205
11639432	35.38211	36.383115	35.333205
12578089	35.38211	36.383115	35.333205
13096724	35.38211	36.383115	35.333205
13211824	35.72211	36.724272	35.6732
13784419	37.300479	38.327548	37.251045
14139628	38.333912	39.37166	38.28433
14894827	41.12531	42.240937	41.072838
15282634	43.051738	44.204468	42.998314
15466566	43.771143	44.929048	43.717669
16583743	49.540496	51.030519	49.461753
16816665	50.21373	51.708285	50.134947
17115580	50.944927	52.444829	50.866092
17959456	53.70209	55.277973	53.620469
18089003	54.488156	56.070218	54.40647
18707445	57.187616	58.842513	57.103315
19320777	59.179295	60.873849	59.093942
19697188	59.648914	61.345674	59.563547
19723111	59.648914	61.345674	59.563547
20097401	60.548123	62.252968	60.462659
20300339	61.004996	62.711928	60.919519
21757545	66.280846	68.265609	66.176005
21901746	66.755898	68.742918	66.651042
22203115	67.855688	69.854802	67.750655
22280040	67.99768	69.996995	67.892646
23272788	71.067878	73.161396	70.959
23447475	72.118906	74.22347	72.009874
23796622	72.416622	74.522072	72.307586
24757037	75.082381	77.258861	74.970827
25683652	77.513474	79.749032	77.400008
26783646	82.880342	85.403382	82.7465
