SNP	K	H	CF
27343	0	0	0
271377	1.494011	1.516328	1.493566
778236	7.774171	8.18986	7.741213
1166716	10.971241	11.489072	10.933943
1384732	12.461303	13.001334	12.423564
1603469	13.389462	13.938108	13.351617
1917139	14.525843	15.087401	14.487803
2229415	16.04795	16.632673	16.00944
2287470	16.04795	16.632673	16.00944
2736279	18.049241	18.674004	18.009664
2904105	18.049241	18.674005	18.009664
3619476	19.911774	20.57122	19.871337
3858361	20.608016	21.272309	20.567533
4233682	21.71263	22.389124	21.671968
4448082	22.296634	22.976538	22.255945
5010563	24.21227	24.928863	24.170646
5337548	25.016817	25.739882	24.975123
5535964	26.133347	26.868877	26.091468
5799941	26.339979	27.075937	26.298099
6055546	27.011963	27.752436	26.970042
6519202	28.5584	29.322784	28.515986
6801277	29.160555	29.928565	29.118113
7047330	36.362475	37.647377	36.271235
8427379	46.455505	48.752256	46.23251
9358168	51.723917	54.297717	51.481638
10488859	58.750413	61.816313	58.462772
10934107	59.567593	62.64017	59.27988
11639432	59.781639	62.854675	59.493925
12578089	60.045867	63.119601	59.75815
13096724	60.045867	63.119601	59.75815
13211824	60.045867	63.119601	59.758151
13445912	60.499189	63.574978	60.21146
13784419	61.104309	64.18376	60.81655
14139628	62.434611	65.531757	62.146539
14303285	63.095517	66.197031	62.807406
14577084	63.890551	66.998385	63.602374
15282634	66.398005	69.568686	66.107731
15466566	67.362923	70.542914	67.072529
15878281	68.684053	71.881495	68.393351
16816665	72.413402	75.749796	72.115823
17115580	73.976231	77.337046	73.678144
17591339	74.818735	78.186648	74.520568
17959456	76.643277	80.044472	76.344301
18089003	76.907318	80.30921	76.60834
18707445	79.428834	82.894279	79.127723
19697188	82.811122	86.39088	82.504876
19723111	82.948818	86.528765	82.642572
20300339	84.144121	87.738354	83.837647
20788561	86.010784	89.639854	85.703444
21294493	87.654559	91.310643	87.346627
21901746	90.690779	94.438993	90.379129
22280040	92.291108	96.064928	91.978912
23058019	95.961481	99.869896	95.642728
23272788	97.223481	101.147821	96.90446
23447475	97.653503	101.579693	97.334472
23796622	98.117946	102.046292	97.798901
24070109	99.455192	103.401419	99.135828
24531404	100.439512	104.395427	100.120021
24757037	101.249657	105.212135	100.930096
25612289	104.363255	108.422615	104.039684
25683652	104.785791	108.846937	104.462211
26783646	112.017623	116.599949	111.644643
