SNP	K	H	CF
271377	0	0	0
1166716	6.272473	6.664884	6.240077
1384732	7.878	8.296184	7.845053
2229415	10.820753	11.325486	10.78442
2904105	12.059682	12.579762	12.023095
3162852	12.887904	13.414844	12.851242
3858361	15.253638	15.836523	15.215214
4448082	17.038446	17.65318	16.999265
5010563	18.563317	19.2013	18.523664
5799941	20.689229	21.372393	20.648297
6801277	23.911906	24.698855	23.86653
7813295	27.210692	28.106381	27.16055
8427379	29.600011	30.552768	29.548055
9358168	34.651504	35.859003	34.582534
9881268	36.222633	37.454812	36.153146
10782718	41.48176	42.990015	41.39309
10934107	42.091088	43.603056	42.002388
11639432	42.091088	43.603056	42.002388
12578089	42.210779	43.722891	42.12208
13096724	42.330471	43.842726	42.241771
13445912	42.451286	43.963686	42.362586
14577084	44.653644	46.214533	44.563522
14894827	46.115475	47.697731	46.024938
15282634	47.751754	49.360779	47.660633
15878281	51.188392	52.915428	51.091884
16816665	54.045194	55.8538	53.945588
17115580	55.428459	57.256196	55.3285
17959456	58.310086	60.220815	58.206947
18089003	58.842774	60.75634	58.739615
18707445	62.199943	64.22613	62.091761
19320777	64.51967	66.59965	64.409828
19697188	65.050171	67.132965	64.940309
20097401	66.071714	68.164943	65.96171
20300339	66.589364	68.685272	66.479342
21294493	69.111351	71.270837	68.999195
21757545	70.352611	72.527502	70.2402
22280040	73.627984	75.910079	73.510908
23058019	76.648179	79.021435	76.527444
23272788	77.269373	79.646487	77.148605
23447475	78.518485	80.911201	78.397458
23796622	79.090579	81.486568	78.969527
24757037	82.390532	84.895338	82.264709
25612289	85.679685	88.292599	85.549138
25899673	86.655071	89.277498	86.5244
26040116	88.007711	90.648432	87.876711
26354551	91.569193	94.33665	91.4322
