Chromosome Position(bp) Rate(cM/Mb) Map(cM)
chr1 50000 5.010062 0
chr1 1e+05 4.987286 0
chr1 150000 4.957112 0
chr1 2e+05 4.919819 0
chr1 250000 4.87569 0
chr1 3e+05 4.825006 0
chr1 350000 4.768046 0
chr1 4e+05 4.705093 0
chr1 450000 4.636426 0
chr1 5e+05 4.562105 0
chr1 550000 4.477399 0
chr1 6e+05 4.382344 0
chr1 650000 4.279675 0
chr1 7e+05 4.172125 0
chr1 750000 4.062427 0
chr1 8e+05 3.946889 0
chr1 850000 3.806601 0
chr1 9e+05 3.647956 0
chr1 950000 3.479856 0
chr1 1e+06 3.311203 0
chr1 1050000 3.150895 0
chr1 1100000 3.007835 0
chr1 1150000 2.890922 0
chr1 1200000 2.799079 0
chr1 1250000 2.72187 0
chr1 1300000 2.653532 0
chr1 1350000 2.588304 0
chr1 1400000 2.51408 0
chr1 1450000 2.443078 0
chr1 1500000 2.393418 0
chr1 1550000 2.353684 0
chr1 1600000 2.321074 0
chr1 1650000 2.292789 0
chr1 1700000 2.266031 0
chr1 1750000 2.252093 0
chr1 1800000 2.250556 0
chr1 1850000 2.242538 0
chr1 1900000 2.217704 0
chr1 1950000 2.191886 0
chr1 2e+06 2.167282 0
chr1 2050000 2.144738 0
chr1 2100000 2.125104 0
chr1 2150000 2.109226 0
chr1 2200000 2.097875 0
chr1 2250000 2.087753 0
chr1 2300000 2.077366 0
chr1 2350000 2.067591 0
chr1 2400000 2.059305 0
chr1 2450000 2.053389 0
chr1 2500000 2.050718 0
chr1 2550000 2.052172 0
chr1 2600000 2.058628 0
chr1 2650000 2.070965 0
chr1 2700000 2.089352 0
chr1 2750000 2.110431 0
chr1 2800000 2.133859 0
chr1 2850000 2.159894 0
chr1 2900000 2.188796 0
chr1 2950000 2.220823 0
chr1 3e+06 2.256233 0
chr1 3050000 2.295284 0
chr1 3100000 2.338236 0
chr1 3150000 2.385347 0
chr1 3200000 2.439563 0
chr1 3250000 2.508823 0
chr1 3300000 2.590918 0
chr1 3350000 2.682817 0
chr1 3400000 2.781484 0
chr1 3450000 2.883885 0
chr1 3500000 2.986987 0
chr1 3550000 3.087755 0
chr1 3600000 3.183155 0
chr1 3650000 3.270153 0
chr1 3700000 3.345716 0
chr1 3750000 3.406808 0
chr1 3800000 3.452252 0
chr1 3850000 3.494189 0
chr1 3900000 3.53169 0
chr1 3950000 3.562633 0
chr1 4e+06 3.591897 0
chr1 4050000 3.618229 0
chr1 4100000 3.639771 0
chr1 4150000 3.65466 0
chr1 4200000 3.661037 0
chr1 4250000 3.667434 0
chr1 4300000 3.676124 0
chr1 4350000 3.675051 0
chr1 4400000 3.662226 0
chr1 4450000 3.649289 0
chr1 4500000 3.630673 0
chr1 4550000 3.599666 0
chr1 4600000 3.551346 0
chr1 4650000 3.487303 0
chr1 4700000 3.409568 0
chr1 4750000 3.320173 0
chr1 4800000 3.221149 0
chr1 4850000 3.11453 0
chr1 4900000 3.002347 0
chr1 4950000 2.886631 0
chr1 5e+06 2.769416 0
chr1 5050000 2.652732 0
chr1 5100000 2.538611 0
chr1 5150000 2.429086 0
chr1 5200000 2.326189 0
chr1 5250000 2.23195 0
chr1 5300000 2.148404 0
chr1 5350000 2.07758 0
chr1 5400000 2.021512 0
chr1 5450000 1.982231 0
chr1 5500000 1.961768 0
chr1 5550000 1.956868 0
chr1 5600000 1.959118 0
chr1 5650000 1.967621 0
chr1 5700000 1.981604 0
chr1 5750000 2.000217 0
chr1 5800000 2.022084 0
chr1 5850000 2.048016 0
chr1 5900000 2.079412 0
chr1 5950000 2.117673 0
chr1 6e+06 2.164197 0
chr1 6050000 2.215599 0
chr1 6100000 2.270352 0
chr1 6150000 2.33367 0
chr1 6200000 2.412312 0
chr1 6250000 2.507927 0
chr1 6300000 2.618155 0
chr1 6350000 2.740635 0
chr1 6400000 2.873008 0
chr1 6450000 3.012913 0
chr1 6500000 3.157991 0
chr1 6550000 3.305881 0
chr1 6600000 3.454224 0
chr1 6650000 3.600659 0
chr1 6700000 3.742826 0
chr1 6750000 3.878365 0
chr1 6800000 4.004916 0
chr1 6850000 4.120119 0
chr1 6900000 4.223875 0
chr1 6950000 4.338779 0
chr1 7e+06 4.443065 0
chr1 7050000 4.54131 0
chr1 7100000 4.63844 0
chr1 7150000 4.744935 0
chr1 7200000 4.857324 0
chr1 7250000 4.972134 0
chr1 7300000 5.085892 0
chr1 7350000 5.195126 0
chr1 7400000 5.296363 0
chr1 7450000 5.386132 0
chr1 7500000 5.460959 0
chr1 7550000 5.517372 0
chr1 7600000 5.551898 0
chr1 7650000 5.561116 0
chr1 7700000 5.548606 0
chr1 7750000 5.519974 0
chr1 7800000 5.477587 0
chr1 7850000 5.423816 0
chr1 7900000 5.357236 0
chr1 7950000 5.262458 0
chr1 8e+06 5.144262 0
chr1 8050000 5.01051 0
chr1 8100000 4.869065 0
chr1 8150000 4.727792 0
chr1 8200000 4.594552 0
chr1 8250000 4.477209 0
chr1 8300000 4.383626 0
chr1 8350000 4.321665 0
chr1 8400000 4.324046 0
chr1 8450000 4.316688 0
chr1 8500000 4.285585 0
chr1 8550000 4.26203 0
chr1 8600000 4.244624 0
chr1 8650000 4.231966 0
chr1 8700000 4.222654 0
chr1 8750000 4.215287 0
chr1 8800000 4.208465 0
chr1 8850000 4.200787 0
chr1 8900000 4.190852 0
chr1 8950000 4.177258 0
chr1 9e+06 4.16439 0
chr1 9050000 4.139219 0
chr1 9100000 4.105094 0
chr1 9150000 4.063921 0
chr1 9200000 4.017227 0
chr1 9250000 3.966538 0
chr1 9300000 3.91338 0
chr1 9350000 3.859279 0
chr1 9400000 3.805761 0
chr1 9450000 3.754352 0
chr1 9500000 3.706578 0
chr1 9550000 3.663966 0
chr1 9600000 3.628042 0
chr1 9650000 3.600331 0
chr1 9700000 3.58236 0
chr1 9750000 3.574568 0
chr1 9800000 3.568058 0
chr1 9850000 3.561749 0
chr1 9900000 3.557164 0
chr1 9950000 3.555828 0
chr1 1e+07 3.559266 0
chr1 10050000 3.569001 0
chr1 10100000 3.586557 0
chr1 10150000 3.61346 0
chr1 10200000 3.651232 0
chr1 10250000 3.701399 0
chr1 10300000 3.765485 0
chr1 10350000 3.845013 0
chr1 10400000 3.941508 0
chr1 10450000 4.062395 0
chr1 10500000 4.279684 0
chr1 10550000 4.555856 0
chr1 10600000 4.815482 0
chr1 10650000 4.983137 0
chr1 10700000 5.071888 0
chr1 10750000 5.166986 0
chr1 10800000 5.263377 0
chr1 10850000 5.355495 0
chr1 10900000 5.437779 0
chr1 10950000 5.505359 0
chr1 1.1e+07 5.561082 0
chr1 11050000 5.611429 0
chr1 11100000 5.662887 0
chr1 11150000 5.721428 0
chr1 11200000 5.776135 0
chr1 11250000 5.821095 0
chr1 11300000 5.857514 0
chr1 11350000 5.886598 0
chr1 11400000 5.909554 0
chr1 11450000 5.927586 0
chr1 11500000 5.941901 0
chr1 11550000 5.953704 0
chr1 11600000 5.964202 0
chr1 11650000 5.9746 0
chr1 11700000 5.986104 0
chr1 11750000 5.999919 0
chr1 11800000 6.017252 0
chr1 11850000 6.040714 0
chr1 11900000 6.103535 0
chr1 11950000 6.203581 0
chr1 1.2e+07 6.319689 0
chr1 12050000 6.430695 0
chr1 12100000 6.515436 0
chr1 12150000 6.552751 0
chr1 12200000 6.531162 0
chr1 12250000 6.516395 0
chr1 12300000 6.519287 0
chr1 12350000 6.532795 0
chr1 12400000 6.549878 0
chr1 12450000 6.563497 0
chr1 12500000 6.566609 0
