Chromosome Position(bp) Rate(cM/Mb) Map(cM)
chr2 50000 NA 0
chr2 1e+05 NA 0
chr2 150000 NA 0
chr2 2e+05 16.075008 0
chr2 250000 15.175019 0
chr2 3e+05 14.32859 0
chr2 350000 13.534328 0
chr2 4e+05 12.790841 0
chr2 450000 12.096737 0
chr2 5e+05 11.45063 0
chr2 550000 10.862543 0
chr2 6e+05 10.333647 0
chr2 650000 9.851073 0
chr2 7e+05 9.401954 0
chr2 750000 8.973419 0
chr2 8e+05 8.608252 0
chr2 850000 8.361528 0
chr2 9e+05 8.173949 0
chr2 950000 7.984398 0
chr2 1e+06 7.7401 0
chr2 1050000 7.570362 0
chr2 1100000 7.458379 0
chr2 1150000 7.296267 0
chr2 1200000 6.931702 0
chr2 1250000 6.161926 0
chr2 1300000 5.149626 0
chr2 1350000 4.097622 0
chr2 1400000 3.208735 0
chr2 1450000 2.685744 0
chr2 1500000 2.649436 0
chr2 1550000 2.99054 0
chr2 1600000 3.561583 0
chr2 1650000 4.215088 0
chr2 1700000 4.803581 0
chr2 1750000 5.179586 0
chr2 1800000 5.208437 0
chr2 1850000 5.099941 0
chr2 1900000 4.960203 0
chr2 1950000 4.764998 0
chr2 2e+06 4.512725 0
chr2 2050000 4.260732 0
chr2 2100000 3.800028 0
chr2 2150000 3.248055 0
chr2 2200000 2.663185 0
chr2 2250000 2.103787 0
chr2 2300000 1.628231 0
chr2 2350000 1.28443 0
chr2 2400000 1.044457 0
chr2 2450000 0.888837 0
chr2 2500000 0.804523 0
chr2 2550000 0.778466 0
chr2 2600000 0.797618 0
chr2 2650000 0.848932 0
chr2 2700000 0.919358 0
chr2 2750000 0.99585 0
chr2 2800000 1.065359 0
chr2 2850000 1.114837 0
chr2 2900000 1.131235 0
chr2 2950000 1.111837 0
chr2 3e+06 1.085821 0
chr2 3050000 1.053813 0
chr2 3100000 1.013061 0
chr2 3150000 0.964272 0
chr2 3200000 0.909595 0
chr2 3250000 0.851173 0
chr2 3300000 0.791155 0
chr2 3350000 0.731685 0
chr2 3400000 0.674909 0
chr2 3450000 0.622974 0
chr2 3500000 0.578026 0
chr2 3550000 0.540921 0
chr2 3600000 0.507437 0
chr2 3650000 0.477293 0
chr2 3700000 0.450801 0
chr2 3750000 0.428276 0
chr2 3800000 0.410031 0
chr2 3850000 0.39638 0
chr2 3900000 0.387636 0
chr2 3950000 0.384114 0
chr2 4e+06 0.386127 0
chr2 4050000 0.393988 0
chr2 4100000 0.408012 0
chr2 4150000 0.428512 0
chr2 4200000 0.455802 0
chr2 4250000 0.490195 0
chr2 4300000 0.532006 0
chr2 4350000 0.581586 0
chr2 4400000 0.642564 0
chr2 4450000 0.715496 0
chr2 4500000 0.798024 0
chr2 4550000 0.887787 0
chr2 4600000 0.982426 0
chr2 4650000 1.079582 0
chr2 4700000 1.176894 0
chr2 4750000 1.272004 0
chr2 4800000 1.362595 0
chr2 4850000 1.436039 0
chr2 4900000 1.470559 0
chr2 4950000 1.474264 0
chr2 5e+06 1.456408 0
chr2 5050000 1.426247 0
chr2 5100000 1.393036 0
chr2 5150000 1.366032 0
chr2 5200000 1.354489 0
chr2 5250000 1.367663 0
chr2 5300000 1.41481 0
chr2 5350000 1.505185 0
chr2 5400000 1.648044 0
chr2 5450000 1.852642 0
chr2 5500000 2.121277 0
chr2 5550000 2.422234 0
chr2 5600000 2.733379 0
chr2 5650000 3.038336 0
chr2 5700000 3.342892 0
chr2 5750000 3.663832 0
chr2 5800000 3.996126 0
chr2 5850000 4.325397 0
chr2 5900000 4.637267 0
chr2 5950000 4.917359 0
chr2 6e+06 5.151296 0
chr2 6050000 5.324205 0
chr2 6100000 5.376229 0
chr2 6150000 5.290936 0
chr2 6200000 5.093183 0
chr2 6250000 4.807827 0
chr2 6300000 4.459722 0
chr2 6350000 4.073724 0
chr2 6400000 3.67469 0
chr2 6450000 3.287475 0
chr2 6500000 2.936935 0
chr2 6550000 2.647926 0
chr2 6600000 2.445304 0
