Chromosome Position(bp) Rate(cM/Mb) Map(cM)
chr4 50000 NA 0
chr4 1e+05 NA 0
chr4 150000 NA 0
chr4 2e+05 NA 0
chr4 250000 9.648905 0
chr4 3e+05 8.834883 0
chr4 350000 8.096062 0
chr4 4e+05 7.43215 0
chr4 450000 6.843021 0
chr4 5e+05 6.330821 0
chr4 550000 5.895673 0
chr4 6e+05 5.536788 0
chr4 650000 5.253377 0
chr4 7e+05 5.044652 0
chr4 750000 4.909822 0
chr4 8e+05 4.8481 0
chr4 850000 4.858696 0
chr4 9e+05 4.94082 0
chr4 950000 5.094016 0
chr4 1e+06 5.368606 0
chr4 1050000 5.77392 0
chr4 1100000 6.270714 0
chr4 1150000 6.819743 0
chr4 1200000 7.381762 0
chr4 1250000 7.917524 0
chr4 1300000 8.387787 0
chr4 1350000 8.753304 0
chr4 1400000 8.97483 0
chr4 1450000 9.01312 0
chr4 1500000 8.82893 0
chr4 1550000 8.308587 0
chr4 1600000 7.330503 0
chr4 1650000 6.053344 0
chr4 1700000 4.647292 0
chr4 1750000 3.282528 0
chr4 1800000 2.131391 0
chr4 1850000 1.316091 0
chr4 1900000 0.790429 0
chr4 1950000 0.484089 0
chr4 2e+06 0.326758 0
chr4 2050000 0.248122 0
chr4 2100000 0.177865 0
chr4 2150000 0.074725 0
chr4 2200000 -0.025781 0
chr4 2250000 -0.084196 0
chr4 2300000 -0.061132 0
chr4 2350000 0.082803 0
chr4 2400000 0.39866 0
chr4 2450000 1.035226 0
chr4 2500000 1.927241 0
chr4 2550000 2.946667 0
chr4 2600000 3.965469 0
chr4 2650000 4.855607 0
chr4 2700000 5.489046 0
chr4 2750000 5.737748 0
chr4 2800000 5.506901 0
chr4 2850000 4.983233 0
chr4 2900000 4.343946 0
chr4 2950000 3.741172 0
chr4 3e+06 3.327041 0
chr4 3050000 2.983367 0
chr4 3100000 2.484812 0
chr4 3150000 1.892761 0
chr4 3200000 1.269126 0
chr4 3250000 0.67582 0
chr4 3300000 0.174756 0
chr4 3350000 -0.172154 0
chr4 3400000 -0.300919 0
chr4 3450000 -0.384116 0
chr4 3500000 -0.388746 0
chr4 3550000 -0.325119 0
chr4 3600000 -0.203562 0
chr4 3650000 -0.034404 0
chr4 3700000 0.172023 0
chr4 3750000 0.405393 0
chr4 3800000 0.655374 0
chr4 3850000 0.911639 0
chr4 3900000 1.163858 0
chr4 3950000 1.398424 0
chr4 4e+06 1.610856 0
chr4 4050000 1.806941 0
chr4 4100000 1.992497 0
chr4 4150000 2.173338 0
chr4 4200000 2.361031 0
chr4 4250000 2.579957 0
chr4 4300000 2.828703 0
chr4 4350000 3.103251 0
chr4 4400000 3.399583 0
chr4 4450000 3.713682 0
chr4 4500000 4.041532 0
chr4 4550000 4.379113 0
chr4 4600000 4.722409 0
chr4 4650000 5.067403 0
chr4 4700000 5.410078 0
chr4 4750000 5.746415 0
chr4 4800000 6.072397 0
chr4 4850000 6.384007 0
chr4 4900000 6.677228 0
chr4 4950000 6.948042 0
chr4 5e+06 7.192432 0
chr4 5050000 7.40638 0
chr4 5100000 7.585869 0
chr4 5150000 7.726882 0
chr4 5200000 7.825494 0
chr4 5250000 7.899506 0
chr4 5300000 7.959814 0
chr4 5350000 7.999746 0
chr4 5400000 8.013064 0
chr4 5450000 8.001979 0
chr4 5500000 7.965961 0
chr4 5550000 7.901797 0
chr4 5600000 7.806278 0
chr4 5650000 7.675804 0
chr4 5700000 7.483045 0
chr4 5750000 7.238789 0
chr4 5800000 6.979713 0
chr4 5850000 6.742495 0
chr4 5900000 6.563812 0
chr4 5950000 6.47538 0
chr4 6e+06 6.445551 0
chr4 6050000 6.451901 0
chr4 6100000 6.483345 0
chr4 6150000 6.528798 0
chr4 6200000 6.577175 0
chr4 6250000 6.61739 0
chr4 6300000 6.638829 0
chr4 6350000 6.66285 0
chr4 6400000 6.701329 0
chr4 6450000 6.747669 0
chr4 6500000 6.79527 0
chr4 6550000 6.837537 0
chr4 6600000 6.867872 0
chr4 6650000 6.879677 0
chr4 6700000 6.866354 0
chr4 6750000 6.822463 0
chr4 6800000 6.751147 0
chr4 6850000 6.658366 0
chr4 6900000 6.549974 0
chr4 6950000 6.431822 0
chr4 7e+06 6.309765 0
chr4 7050000 6.189654 0
chr4 7100000 6.077344 0
chr4 7150000 5.978687 0
chr4 7200000 5.899536 0
chr4 7250000 5.845744 0
chr4 7300000 5.823165 0
chr4 7350000 5.837763 0
chr4 7400000 5.893157 0
chr4 7450000 5.972233 0
chr4 7500000 6.052456 0
chr4 7550000 6.11129 0
chr4 7600000 6.126198 0
chr4 7650000 6.074646 0
chr4 7700000 5.934097 0
chr4 7750000 5.686364 0
chr4 7800000 5.349338 0
chr4 7850000 4.941956 0
chr4 7900000 4.480501 0
chr4 7950000 3.980408 0
chr4 8e+06 3.490712 0
chr4 8050000 3.16305 0
chr4 8100000 2.97208 0
chr4 8150000 2.868249 0
chr4 8200000 2.837419 0
chr4 8250000 2.865449 0
chr4 8300000 2.938201 0
chr4 8350000 3.041534 0
chr4 8400000 3.16131 0
chr4 8450000 3.283389 0
chr4 8500000 3.393633 0
chr4 8550000 3.4779 0
chr4 8600000 3.524698 0
chr4 8650000 3.568318 0
chr4 8700000 3.622044 0
chr4 8750000 3.683977 0
chr4 8800000 3.752222 0
chr4 8850000 3.824881 0
