Chromosome Position(bp) Rate(cM/Mb) Map(cM)
chr3 50000 NA 0
chr3 1e+05 NA 0
chr3 150000 NA 0
chr3 2e+05 NA 0
chr3 250000 NA 0
chr3 3e+05 3.705354 0
chr3 350000 3.777185 0
chr3 4e+05 3.842071 0
chr3 450000 3.900663 0
chr3 5e+05 3.953729 0
chr3 550000 4.000646 0
chr3 6e+05 4.040787 0
chr3 650000 4.07353 0
chr3 7e+05 4.098249 0
chr3 750000 4.114319 0
chr3 8e+05 4.121117 0
chr3 850000 4.116134 0
chr3 9e+05 4.089799 0
chr3 950000 4.044029 0
chr3 1e+06 3.982576 0
chr3 1050000 3.909193 0
chr3 1100000 3.827633 0
chr3 1150000 3.741649 0
chr3 1200000 3.654992 0
chr3 1250000 3.571416 0
chr3 1300000 3.494673 0
chr3 1350000 3.422961 0
chr3 1400000 3.343922 0
chr3 1450000 3.262378 0
chr3 1500000 3.184419 0
chr3 1550000 3.116136 0
chr3 1600000 3.058849 0
chr3 1650000 3.0108 0
chr3 1700000 2.974678 0
chr3 1750000 2.953184 0
chr3 1800000 2.949015 0
chr3 1850000 2.979131 0
chr3 1900000 3.065178 0
chr3 1950000 3.175848 0
chr3 2e+06 3.277469 0
chr3 2050000 3.336374 0
chr3 2100000 3.336932 0
chr3 2150000 3.327907 0
chr3 2200000 3.304859 0
chr3 2250000 3.256208 0
chr3 2300000 3.176865 0
chr3 2350000 3.084154 0
chr3 2400000 2.98643 0
chr3 2450000 2.890954 0
chr3 2500000 2.804982 0
chr3 2550000 2.735879 0
chr3 2600000 2.692798 0
chr3 2650000 2.675326 0
chr3 2700000 2.679361 0
chr3 2750000 2.700801 0
chr3 2800000 2.735545 0
chr3 2850000 2.779491 0
chr3 2900000 2.828537 0
chr3 2950000 2.878583 0
chr3 3e+06 2.925525 0
chr3 3050000 2.965262 0
chr3 3100000 2.993693 0
chr3 3150000 3.006716 0
chr3 3200000 3.000229 0
chr3 3250000 2.97013 0
chr3 3300000 2.914678 0
chr3 3350000 2.846175 0
chr3 3400000 2.753055 0
chr3 3450000 2.623276 0
chr3 3500000 2.485655 0
chr3 3550000 2.354141 0
chr3 3600000 2.236507 0
chr3 3650000 2.140105 0
chr3 3700000 2.066453 0
chr3 3750000 2.013377 0
chr3 3800000 1.978666 0
chr3 3850000 1.960106 0
chr3 3900000 1.955485 0
chr3 3950000 1.96259 0
chr3 4e+06 1.979209 0
chr3 4050000 2.003129 0
chr3 4100000 2.032137 0
chr3 4150000 2.06402 0
chr3 4200000 2.096567 0
chr3 4250000 2.135195 0
chr3 4300000 2.184445 0
chr3 4350000 2.233382 0
chr3 4400000 2.294148 0
chr3 4450000 2.368127 0
chr3 4500000 2.451635 0
chr3 4550000 2.540987 0
chr3 4600000 2.6325 0
chr3 4650000 2.72249 0
chr3 4700000 2.807272 0
chr3 4750000 2.883163 0
chr3 4800000 2.946478 0
chr3 4850000 2.993533 0
chr3 4900000 3.020645 0
chr3 4950000 3.023091 0
chr3 5e+06 3.002133 0
chr3 5050000 2.963231 0
chr3 5100000 2.911852 0
chr3 5150000 2.853456 0
chr3 5200000 2.793509 0
chr3 5250000 2.737472 0
chr3 5300000 2.69081 0
chr3 5350000 2.657734 0
chr3 5400000 2.624683 0
chr3 5450000 2.589259 0
chr3 5500000 2.555065 0
chr3 5550000 2.525704 0
chr3 5600000 2.504778 0
chr3 5650000 2.495888 0
chr3 5700000 2.506326 0
chr3 5750000 2.543321 0
chr3 5800000 2.590141 0
chr3 5850000 2.628328 0
chr3 5900000 2.640114 0
chr3 5950000 2.641335 0
chr3 6e+06 2.641656 0
chr3 6050000 2.635765 0
chr3 6100000 2.623267 0
chr3 6150000 2.606042 0
chr3 6200000 2.585981 0
chr3 6250000 2.564976 0
chr3 6300000 2.544919 0
chr3 6350000 2.5277 0
chr3 6400000 2.515211 0
chr3 6450000 2.509343 0
chr3 6500000 2.511989 0
chr3 6550000 2.525184 0
chr3 6600000 2.551326 0
chr3 6650000 2.590857 0
chr3 6700000 2.64389 0
chr3 6750000 2.71054 0
chr3 6800000 2.790919 0
chr3 6850000 2.885141 0
chr3 6900000 2.993319 0
chr3 6950000 3.115567 0
chr3 7e+06 3.251999 0
chr3 7050000 3.402727 0
chr3 7100000 3.567866 0
chr3 7150000 3.756664 0
chr3 7200000 4.003109 0
chr3 7250000 4.276672 0
chr3 7300000 4.538017 0
chr3 7350000 4.74781 0
chr3 7400000 4.936422 0
chr3 7450000 5.205996 0
chr3 7500000 5.52692 0
chr3 7550000 5.865858 0
chr3 7600000 6.189476 0
chr3 7650000 6.464439 0
chr3 7700000 6.657412 0
chr3 7750000 6.763867 0
chr3 7800000 6.811815 0
chr3 7850000 6.810542 0
chr3 7900000 6.769282 0
chr3 7950000 6.697272 0
chr3 8e+06 6.603749 0
chr3 8050000 6.497947 0
chr3 8100000 6.389104 0
chr3 8150000 6.286455 0
chr3 8200000 6.199237 0
chr3 8250000 6.11308 0
chr3 8300000 5.998066 0
chr3 8350000 5.875518 0
chr3 8400000 5.76808 0
chr3 8450000 5.698394 0
chr3 8500000 5.664316 0
chr3 8550000 5.636475 0
chr3 8600000 5.617096 0
chr3 8650000 5.609175 0
chr3 8700000 5.617105 0
chr3 8750000 5.639541 0
chr3 8800000 5.673735 0
chr3 8850000 5.716937 0
chr3 8900000 5.766401 0
chr3 8950000 5.819376 0
chr3 9e+06 5.873114 0
chr3 9050000 5.924867 0
chr3 9100000 5.971885 0
chr3 9150000 6.011696 0
chr3 9200000 6.047618 0
chr3 9250000 6.08141 0
chr3 9300000 6.113008 0
chr3 9350000 6.142347 0
chr3 9400000 6.169365 0
chr3 9450000 6.193997 0
chr3 9500000 6.216179 0
chr3 9550000 6.235847 0
chr3 9600000 6.252937 0
chr3 9650000 6.267387 0
chr3 9700000 6.27913 0
chr3 9750000 6.288105 0
chr3 9800000 6.294247 0
chr3 9850000 6.297491 0
chr3 9900000 6.297775 0
chr3 9950000 6.301566 0
chr3 1e+07 6.33029 0
chr3 10050000 6.350765 0
chr3 10100000 6.335739 0
chr3 10150000 6.316786 0
chr3 10200000 6.297384 0
chr3 10250000 6.275946 0
chr3 10300000 6.250885 0
chr3 10350000 6.220615 0
chr3 10400000 6.183548 0
chr3 10450000 6.138097 0
chr3 10500000 6.082677 0
chr3 10550000 6.015699 0
chr3 10600000 5.935587 0
chr3 10650000 5.843429 0
chr3 10700000 5.741741 0
chr3 10750000 5.631887 0
chr3 10800000 5.515232 0
chr3 10850000 5.393133 0
chr3 10900000 5.262193 0
chr3 10950000 5.119942 0
chr3 1.1e+07 4.968034 0
chr3 11050000 4.808125 0
chr3 11100000 4.641871 0
chr3 11150000 4.460495 0
chr3 11200000 4.250416 0
chr3 11250000 4.017666 0
chr3 11300000 3.768603 0
chr3 11350000 3.509584 0
chr3 11400000 3.246967 0
chr3 11450000 2.98711 0
chr3 11500000 2.736371 0
chr3 11550000 2.501106 0
chr3 11600000 2.287675 0
chr3 11650000 2.102435 0
chr3 11700000 1.951743 0
chr3 11750000 1.841948 0
chr3 11800000 1.766702 0
chr3 11850000 1.714504 0
chr3 11900000 1.682172 0
chr3 11950000 1.666525 0
chr3 1.2e+07 1.66438 0
chr3 12050000 1.672555 0
chr3 12100000 1.687867 0
chr3 12150000 1.707135 0
chr3 12200000 1.727177 0
chr3 12250000 1.744809 0
chr3 12300000 1.75807 0
chr3 12350000 1.772991 0
chr3 12400000 1.790136 0
chr3 12450000 1.808578 0
chr3 12500000 1.827391 0
chr3 12550000 1.845647 0
chr3 12600000 1.862419 0
chr3 12650000 1.87678 0
chr3 12700000 1.887803 0
chr3 12750000 1.894561 0
chr3 12800000 1.896127 0
chr3 12850000 1.891573 0
chr3 12900000 1.879973 0
chr3 12950000 1.860399 0
chr3 1.3e+07 1.831925 0
chr3 13050000 1.793623 0
chr3 13100000 1.744566 0
chr3 13150000 1.679511 0
chr3 13200000 1.595305 0
chr3 13250000 1.499698 0
chr3 13300000 1.400591 0
chr3 13350000 1.305884 0
chr3 13400000 1.223477 0
chr3 13450000 1.161269 0
chr3 13500000 1.12694 0
chr3 13550000 1.098795 0
chr3 13600000 1.060624 0
chr3 13650000 1.015915 0
chr3 13700000 0.968159 0
chr3 13750000 0.920846 0
chr3 13800000 0.877466 0
chr3 13850000 0.841508 0
chr3 13900000 0.816463 0
chr3 13950000 0.80582 0
chr3 1.4e+07 0.813069 0
chr3 14050000 0.8417 0
chr3 14100000 0.895203 0
chr3 14150000 1.024953 0
chr3 14200000 1.223265 0
chr3 14250000 1.368781 0
chr3 14300000 1.470176 0
chr3 14350000 1.581701 0
chr3 14400000 1.702421 0
chr3 14450000 1.831399 0
chr3 14500000 1.967702 0
chr3 14550000 2.110393 0
chr3 14600000 2.258537 0
chr3 14650000 2.411199 0
chr3 14700000 2.567444 0
chr3 14750000 2.726336 0
chr3 14800000 2.88694 0
chr3 14850000 3.048321 0
chr3 14900000 3.209543 0
chr3 14950000 3.369671 0
chr3 1.5e+07 3.52777 0
chr3 15050000 3.682904 0
chr3 15100000 3.834139 0
chr3 15150000 3.980539 0
chr3 15200000 4.121168 0
chr3 15250000 4.255091 0
chr3 15300000 4.381373 0
chr3 15350000 4.499079 0
chr3 15400000 4.607273 0
chr3 15450000 4.70502 0
chr3 15500000 4.791385 0
chr3 15550000 4.866189 0
chr3 15600000 4.933164 0
chr3 15650000 4.994288 0
chr3 15700000 5.051144 0
chr3 15750000 5.075561 0
chr3 15800000 5.022484 0
chr3 15850000 4.936463 0
chr3 15900000 4.865506 0
chr3 15950000 4.844288 0
chr3 1.6e+07 4.858298 0
chr3 16050000 4.900579 0
chr3 16100000 4.965486 0
chr3 16150000 5.047377 0
chr3 16200000 5.140608 0
chr3 16250000 5.239535 0
chr3 16300000 5.338515 0
chr3 16350000 5.431904 0
chr3 16400000 5.514058 0
chr3 16450000 5.579334 0
chr3 16500000 5.622089 0
chr3 16550000 5.636678 0
chr3 16600000 5.617459 0
chr3 16650000 5.557458 0
chr3 16700000 5.449448 0
chr3 16750000 5.313549 0
chr3 16800000 5.174331 0
chr3 16850000 5.056318 0
chr3 16900000 4.939493 0
chr3 16950000 4.799852 0
chr3 1.7e+07 4.648343 0
chr3 17050000 4.495912 0
chr3 17100000 4.353507 0
chr3 17150000 4.232076 0
chr3 17200000 4.142565 0
chr3 17250000 4.090124 0
chr3 17300000 4.064661 0
chr3 17350000 4.062288 0
chr3 17400000 4.079544 0
chr3 17450000 4.112965 0
chr3 17500000 4.159091 0
chr3 17550000 4.214459 0
chr3 17600000 4.275607 0
chr3 17650000 4.339073 0
chr3 17700000 4.401394 0
chr3 17750000 4.459109 0
chr3 17800000 4.508755 0
chr3 17850000 4.54687 0
chr3 17900000 4.569097 0
chr3 17950000 4.563606 0
chr3 1.8e+07 4.522619 0
chr3 18050000 4.479418 0
chr3 18100000 4.511336 0
chr3 18150000 4.585577 0
chr3 18200000 4.664171 0
chr3 18250000 4.709146 0
chr3 18300000 4.735719 0
chr3 18350000 4.810676 0
chr3 18400000 4.90397 0
chr3 18450000 4.983093 0
chr3 18500000 5.015536 0
chr3 18550000 4.971269 0
chr3 18600000 4.867017 0
chr3 18650000 4.736271 0
chr3 18700000 4.607681 0
chr3 18750000 4.509901 0
chr3 18800000 4.463136 0
chr3 18850000 4.441649 0
chr3 18900000 4.436766 0
chr3 18950000 4.444201 0
chr3 1.9e+07 4.459669 0
chr3 19050000 4.478884 0
chr3 19100000 4.497559 0
chr3 19150000 4.51141 0
chr3 19200000 4.516149 0
chr3 19250000 4.513409 0
chr3 19300000 4.521658 0
chr3 19350000 4.529959 0
chr3 19400000 4.523734 0
chr3 19450000 4.488401 0
chr3 19500000 4.404568 0
chr3 19550000 4.269546 0
chr3 19600000 4.105291 0
chr3 19650000 3.93412 0
chr3 19700000 3.778347 0
chr3 19750000 3.656047 0
chr3 19800000 3.498365 0
chr3 19850000 3.304162 0
chr3 19900000 3.113684 0
chr3 19950000 2.967175 0
chr3 2e+07 2.905083 0
chr3 20050000 2.955405 0
chr3 20100000 3.087216 0
chr3 20150000 3.25648 0
chr3 20200000 3.41916 0
chr3 20250000 3.531217 0
chr3 20300000 3.601147 0
chr3 20350000 3.74945 0
chr3 20400000 3.938813 0
chr3 20450000 4.119377 0
chr3 20500000 4.241281 0
chr3 20550000 4.254562 0
chr3 20600000 4.099708 0
chr3 20650000 3.809108 0
chr3 20700000 3.460874 0
chr3 20750000 3.133121 0
chr3 20800000 2.903959 0
chr3 20850000 2.742446 0
chr3 20900000 2.507938 0
chr3 20950000 2.279113 0
chr3 2.1e+07 2.141213 0
chr3 21050000 2.125586 0
chr3 21100000 2.162492 0
chr3 21150000 2.181451 0
chr3 21200000 2.234351 0
chr3 21250000 2.347669 0
chr3 21300000 2.483043 0
chr3 21350000 2.602108 0
chr3 21400000 2.666502 0
chr3 21450000 2.670583 0
chr3 21500000 2.646529 0
chr3 21550000 2.613869 0
chr3 21600000 2.592135 0
chr3 21650000 2.600857 0
chr3 21700000 2.662005 0
chr3 21750000 2.793327 0
chr3 21800000 2.959294 0
chr3 21850000 3.116719 0
chr3 21900000 3.22242 0
chr3 21950000 3.289977 0
chr3 2.2e+07 3.359476 0
chr3 22050000 3.429937 0
chr3 22100000 3.50038 0
chr3 22150000 3.569824 0
chr3 22200000 3.63729 0
chr3 22250000 3.704106 0
chr3 22300000 3.776419 0
chr3 22350000 3.845947 0
chr3 22400000 3.902757 0
chr3 22450000 3.937111 0
chr3 22500000 3.980773 0
chr3 22550000 4.047111 0
chr3 22600000 4.114107 0
chr3 22650000 4.159743 0
chr3 22700000 4.162001 0
chr3 22750000 4.098863 0
chr3 22800000 3.948312 0
chr3 22850000 3.723035 0
chr3 22900000 3.464081 0
chr3 22950000 3.160081 0
chr3 2.3e+07 2.798839 0
chr3 23050000 2.368161 0
chr3 23100000 1.856174 0
chr3 23150000 1.263736 0
chr3 23200000 0 0
