SNP	K	H	CF
32807	0	0	0
488426	0.444682	0.4466594	0.4446703
1390502	2.277744	2.3133155	2.2769126
1699236	3.672632	3.7276575	3.6714385
1865285	3.672632	3.7276576	3.6714386
3779036	9.171088	9.5278361	9.147994
3917089	9.596235	9.9547905	9.5731306
4200550	11.514297	11.9096334	11.4902534
4359800	12.391728	12.7947634	12.3675949
5506917	19.048582	19.8934511	18.9857998
5734744	19.225054	20.0702343	19.1622708
6001538	20.000086	20.8512732	19.9372411
6149751	20.139082	20.9904621	20.0762365
6989379	22.812971	23.7358135	22.7475834
7644962	25.206343	26.1864458	25.1391315
8439006	28.269662	29.3435454	28.198632
8993233	30.086579	31.1934676	30.0147509
9205325	30.523545	31.6323432	30.451706
10434922	34.493188	35.7594009	34.41306
10653718	35.388971	36.6632084	35.3087479
10903254	35.921091	37.1981598	35.8408477
11026901	36.355734	37.6346922	36.27548
11838780	40.593986	42.0523571	40.5036534
12686038	45.232403	46.9056148	45.1288773
13038240	46.679153	48.373293	46.5752241
13207971	48.78268	50.5210549	48.677512
14001934	50.88902	52.6717485	50.7826082
14161442	51.406256	53.1916597	51.2998257
15897174	52.77726	54.5814579	52.6704863
15985718	53.163531	54.9692208	53.0567496
16279095	55.528372	57.3899662	55.4198316
16645134	58.598123	60.5538915	58.4857398
16913975	60.24707	62.2300235	60.1340894
17102334	60.668878	62.6536114	60.555888
17605952	64.59276	66.731304	64.4717638
17720368	65.25812	67.4010905	65.1370841
18028852	66.594443	68.7552692	66.4730894
18300423	67.284224	69.4498083	67.1628269
19492844	70.310868	72.5680017	70.1857872
21059175	74.610742	77.0525373	74.4751388
21559246	75.830056	78.2867175	75.6942117
22200580	77.317197	79.7959714	77.1809148
22743028	78.674999	81.1722066	78.5383825
23381914	80.848282	83.3927072	80.7103003
23906908	83.403956	86.013667	83.263754
24114746	84.66293	87.28849	84.5224626
24810967	89.106802	91.929582	88.9547247
25143391	90.200405	93.0351439	90.0481535
25304145	90.866287	93.7054593	90.7139957
25520382	91.446936	94.2894798	91.2946187
26357422	95.532488	98.5417636	95.3711381
26404106	95.98693	98.9982709	95.8255678
27230162	99.862725	103.0241343	99.6936469
27634939	100.583131	103.74973	100.4140031
28172831	102.285774	105.4813565	102.1159879
28548488	103.202743	106.4067333	103.0328542
29058956	104.305583	107.5217349	104.1355154
29595658	105.65687	108.8912802	105.4864744
30065751	106.228486	109.4661634	106.0580653
30269940	106.494108	109.7324911	106.323685
30393984	107.184562	110.4277115	107.0140943
