SNP	K	H	CF
32807	0	0	0
488426	1.475817	1.497594	1.475389
1149280	3.333615	3.389899	3.332333
1390502	3.806797	3.86532	3.805501
1411467	3.806797	3.86532	3.805501
1865285	4.823846	4.892712	4.82241
2192374	5.296472	5.367571	5.295022
3167371	7.205379	7.312908	7.203002
3779036	8.505407	8.629836	8.502738
4200550	9.872413	10.015527	9.869404
4359800	10.259357	10.403967	10.25634
5506917	12.871324	13.084127	12.865937
5734744	13.009418	13.222412	13.004031
6001538	13.917596	14.138838	13.912109
6884867	15.423395	15.667308	15.417454
7047756	15.999177	16.246405	15.99321
7644962	18.210336	18.50644	18.202931
8350582	20.384517	20.727876	20.375743
8993233	21.614327	21.97281	21.605306
9001217	21.614327	21.97281	21.605306
9205325	21.95199	22.311612	21.942963
9730381	22.380793	22.742254	22.371756
10434922	25.007747	25.438186	24.9963
10653718	25.486533	25.919264	25.475071
12179065	32.493253	33.415327	32.436806
13207971	37.942575	39.161013	37.864805
14001934	40.102021	41.367077	40.022911
14158183	40.102021	41.367077	40.022911
15630635	40.326945	41.592507	40.247833
15985718	40.326945	41.592507	40.247833
16279095	41.900711	43.191036	41.82108
16645134	42.832788	44.131801	42.75305
17605952	48.152317	49.733771	48.052732
17720368	48.377004	49.958963	48.277418
18028852	49.09579	50.682915	48.996154
18300423	50.297482	51.899046	50.197615
18514173	50.974036	52.580178	50.874128
18800489	51.2107	52.817402	51.11079
20260660	55.308595	57.083037	55.199571
20686611	55.961192	57.739892	55.852131
21059175	56.558139	58.340403	56.44905
21167712	56.690865	58.473305	56.581775
22200580	58.3272	60.136411	58.217527
22975205	60.436893	62.290599	60.32597
23130317	60.695908	62.550284	60.584982
23381914	61.356295	63.215033	61.245331
23906908	63.405843	65.306575	63.293733
24114746	64.202014	66.109085	64.089837
25143391	68.369978	70.450567	68.248213
25304145	68.482181	70.562896	68.360416
25520382	68.819747	70.901602	68.697977
26099650	71.441862	73.592441	71.317695
26404106	72.951619	75.124987	72.826993
27230162	75.977604	78.242482	75.849297
27634939	76.674817	78.944557	76.546466
27855083	77.012438	79.283317	76.884081
28132789	77.703185	79.978835	77.574784
29058956	80.382198	82.729585	80.251241
30065751	83.052421	85.471075	82.918932
30269940	83.2867	85.705902	83.153209
30393984	83.63128	86.05167	83.497784
