SNP	K	H	CF
32807	0	0	0
488426	2.313206	2.366696	2.311559
1149280	5.957132	6.143287	5.949068
1390502	7.149806	7.350184	7.141516
1865285	8.197243	8.408592	8.1888
2192374	8.918516	9.135067	8.910023
2674225	10.488907	10.730114	10.479897
3167371	11.621223	11.875251	11.61202
3779036	13.32603	13.609116	13.316167
4200550	15.387643	15.71322	15.376615
5506917	19.820628	20.342461	19.798074
5734744	19.936209	20.458176	19.913655
6149751	20.400253	20.924373	20.377686
6884867	22.539676	23.109554	22.515806
6989379	22.773111	23.343533	22.749238
7047756	22.894626	23.465196	22.870754
8439006	28.112906	28.955287	28.070291
8993233	30.151597	31.035529	30.107854
9001217	30.151597	31.035529	30.107854
9205325	30.976528	31.867265	30.93271
10434922	35.538102	36.636632	35.481734
10903254	37.48538	38.621819	37.428028
11838780	41.286108	42.566863	41.221478
12179065	43.542227	44.873865	43.476068
12686038	46.888098	48.331601	46.816967
13038240	50.280166	51.838642	50.203855
13859051	53.433667	55.091523	53.353192
14001934	53.433667	55.091524	53.353192
14158183	53.433667	55.091524	53.353192
14161442	53.433667	55.091524	53.353192
15605577	53.548672	55.206661	53.468197
15630635	53.548672	55.206661	53.468197
15897174	53.548672	55.206661	53.468197
15985718	53.548673	55.206661	53.468197
16913975	58.830735	60.767208	58.730827
17605952	63.225305	65.354652	63.114167
17720368	63.342942	65.472428	63.231805
18028852	64.558057	66.702306	64.44668
18300423	64.960507	67.106376	64.849122
18514173	65.536844	67.686035	65.425433
18800489	66.264993	68.419485	66.15353
19492844	67.850698	70.030331	67.738704
19780232	69.042512	71.236347	68.930292
20686611	71.687342	73.951096	71.572663
21167712	72.526562	74.797359	72.411804
21559246	73.00956	75.28269	72.894787
23381914	77.55929	80.039135	77.432063
23906908	79.626354	82.148915	79.497951
24114746	80.228484	82.75467	80.100052
24810967	83.098637	85.707156	82.967063
25304145	85.401345	88.06287	85.268147
25520382	86.754384	89.434214	86.620856
26099650	89.266865	92.009794	89.131227
26357422	91.650917	94.450661	91.513476
27230162	94.931889	97.839203	94.789759
27634939	95.739928	98.653771	95.597728
28132789	96.461912	99.380968	96.319662
29333952	101.16293	104.302657	101.006949
30269940	103.025709	106.200127	102.868867
30393984	103.138908	106.313454	102.982066
