SNP	K	H	CF
434712	0	0	0
1512987	6.890362	7.363637	6.847554
1782389	10.358209	10.951648	10.309868
2775749	10.358209	10.951649	10.309868
3370742	13.359823	14.043305	13.307889
3903294	13.475674	14.15929	13.423739
5196578	13.88555	14.570846	13.833606
5386239	15.198152	15.900675	15.145907
5643991	16.902105	17.633657	16.849201
5931550	18.793834	19.561165	18.740029
6718256	22.287979	23.1773	22.228513
7340898	26.277762	27.326098	26.209882
7724867	28.530587	29.629658	28.461185
7934924	30.657533	31.80183	30.586851
8034821	31.323538	32.472271	31.252817
9167906	35.289662	36.595531	35.210674
9575956	37.161753	38.502661	37.081892
10089916	38.484055	39.842445	38.403885
11559979	43.411996	45.012841	43.316023
12118475	45.792817	47.450323	45.695048
12439446	46.419693	48.081129	46.321892
12976051	48.964454	50.69062	48.864461
13467985	50.317097	52.061558	50.216775
13788227	50.765579	52.51205	50.665244
14035762	51.439102	53.19011	51.338727
14957828	54.981661	56.858061	54.875388
15325586	55.455382	57.334027	55.349095
15863233	57.062201	58.96666	56.955362
16437564	58.441309	60.364784	58.334119
16487609	58.710449	60.634649	58.603257
17031668	61.538006	63.542114	61.427809
17325108	62.691406	64.708816	62.581005
18060948	65.842809	67.959467	65.728252
18405517	67.888041	70.046517	67.772344
18577351	68.718004	70.883368	68.602232
