SNP	K	H	CF
208650	0	0	0
945976	6.202598	6.586338	6.171262
2103325	9.085353	9.552149	9.050833
2383725	9.085353	9.552149	9.050833
3002169	9.193588	9.660501	9.159068
5196578	10.223511	10.701031	10.188845
5643991	14.015677	14.636865	13.973782
6293204	18.779418	19.627196	18.723239
6718256	22.051763	23.006546	21.990931
7724867	29.080771	30.528006	28.97453
7934924	30.113151	31.571042	30.006763
8585617	32.869088	34.402893	32.759918
9167906	35.029019	36.609462	34.918507
10346818	39.635985	41.428371	39.512546
10607774	41.009063	42.820299	40.885279
11017270	42.665496	44.504165	42.541106
12439446	47.862525	49.9708	47.71962
12976051	48.996984	51.118128	48.853884
13467985	49.732493	51.859046	49.58934
13788227	50.203967	52.332744	50.0608
13960078	50.654886	52.785696	50.511707
14035762	51.172228	53.305714	51.02903
14736664	53.143275	55.315601	52.999058
14957828	54.413979	56.60245	54.269488
15325586	54.767459	56.95718	54.622963
16102064	56.433532	58.651006	56.28842
16437564	57.257421	59.481683	57.112235
17031668	59.270841	61.53563	59.124568
17325108	59.720799	61.987613	59.574514
17538469	60.665821	62.941565	60.519423
18060948	62.222567	64.522542	62.075667
18577351	63.324265	65.636375	63.177186
