SNP	H
208650	0
434712	1.988582
945976	6.018746
1512987	8.565926
1782389	13.417873
2103325	13.506988
2383725	13.506988
3903294	14.387303
5196578	15.015991
5643991	18.921599
5931550	20.87986
6293204	23.455054
7340898	28.165979
7724867	29.967906
8585617	33.949822
9167906	35.668394
10346818	40.344238
10607774	41.420365
11320394	42.99747
12118475	45.811934
12439446	47.188289
13788227	51.418997
13960078	51.565124
14035762	52.005286
14736664	53.302
14957828	53.77144
15325586	54.240888
15863233	55.182081
16102064	56.144418
16437564	57.591732
17031668	60.51053
17325108	61.455167
18060948	65.885818
18262372	65.885818
18577351	66.525666
