SNP	K	H	CF
208650	0	0	0
434712	2.657987	2.728602	2.65549
945976	6.102123	6.291265	6.094204
1512987	8.598862	8.850316	8.588874
2103325	13.570032	14.068205	13.543824
2383725	13.570032	14.068205	13.543824
3002169	13.825544	14.32437	13.799334
3370742	13.825545	14.324371	13.799334
3400397	13.825545	14.324371	13.799334
3903294	13.825545	14.324371	13.799334
4169509	14.66504	15.170914	14.638751
5196578	15.34837	15.858912	15.322038
5931550	20.579017	21.362659	20.53381
6293204	22.591302	23.415426	22.545011
7934924	35.379932	37.822019	35.071728
8585617	38.009961	40.521187	37.699338
9167906	40.601751	43.18012	40.288812
10089916	43.614657	46.283747	43.298085
10607774	45.695414	48.407788	45.377643
11017270	47.630616	50.38043	47.31188
11320394	48.72974	51.491634	48.410826
11559979	49.535215	52.303596	49.216232
12439446	52.537539	55.396006	52.214961
12976051	53.236767	56.100123	52.914143
13467985	54.551202	57.431834	54.228276
13788227	55.423807	58.312053	55.100792
13960078	55.79607	58.685701	55.473048
14035762	55.981573	58.871548	55.65855
14957828	58.179466	61.117734	57.855031
15325586	58.873252	61.816332	58.548772
16102064	60.501128	63.470704	60.176073
16437564	61.360285	64.337241	61.035145
16487609	62.125396	65.108206	61.800197
17325108	64.710627	67.760242	64.383131
18060948	69.080293	72.320605	68.741756
18262372	69.336544	72.577512	68.998004
18405517	69.465288	72.706422	69.126748
18577351	70.115843	73.361209	69.777267
