SNP	K	H	CF
434712	0	0	0
945976	2.083216	2.126601	2.082013
1512987	3.988195	4.067861	3.986071
1782389	7.409204	7.605812	7.401767
2103325	7.409204	7.605812	7.401767
2383725	8.470966	8.678846	8.463369
2775749	8.470966	8.678846	8.463369
3002169	10.46995	10.717779	10.46129
3370742	10.46995	10.717779	10.46129
3903294	10.46995	10.717779	10.46129
5196578	10.884791	11.134341	10.876122
5643991	13.406679	13.719802	13.395877
5931550	16.298494	16.695196	16.284478
7340898	23.191623	24.06198	23.134748
7934924	26.876824	27.882865	26.813313
8034821	27.140635	28.147371	27.077121
9167906	31.764833	32.985098	31.688246
9575956	33.444589	34.693064	33.367371
10346818	38.577397	40.088867	38.482336
10607774	40.243293	41.782511	40.147617
11320394	43.269767	44.900525	43.170409
11559979	44.252949	45.893372	44.153463
12118475	45.381317	47.034471	45.28164
12439446	46.509565	48.175447	46.409696
12976051	48.082566	49.773187	47.982179
13467985	49.11951	50.820883	49.018974
13788227	49.758735	51.464194	49.658165
13960078	50.542559	52.254162	50.441925
14957828	53.954151	55.782053	53.848247
15325586	54.835651	56.671323	54.729655
15863233	55.905447	57.752563	55.799288
16102064	56.671424	58.524408	56.565206
16437564	57.984257	59.854474	57.877737
17031668	60.857413	62.810135	60.747741
17325108	61.614485	63.572938	61.504755
17538469	63.790159	65.795932	63.679058
18060948	67.570355	69.718892	67.452093
18262372	68.261361	70.414672	68.143055
18405517	68.687483	70.842609	68.569166
