SNP	K	H	CF
434712	0	0	0
945976	4.383815	4.575748	4.372668
1512987	7.196895	7.46792	7.182789
2383725	8.644879	8.936868	8.630368
2775749	8.772072	9.064223	8.757561
3002169	11.901852	12.291894	11.883269
3370742	12.256147	12.647444	12.237559
3903294	12.256147	12.647444	12.237559
5386239	14.258194	14.689562	14.238537
5643991	16.385294	16.861894	16.364356
5931550	18.38277	18.899258	18.360771
6293204	20.95552	21.53817	20.931257
7340898	26.278312	27.14375	26.234167
7934924	29.248388	30.201988	29.200761
8034821	29.733458	30.68941	29.685816
9167906	33.123203	34.193971	33.070392
10346818	38.007024	39.315931	37.938828
10607774	38.860523	40.176714	38.792244
11017270	40.127034	41.459263	40.058483
11320394	40.733319	42.069225	40.664739
11559979	41.403186	42.743578	41.334566
12439446	45.433685	46.936352	45.356392
12976051	46.941171	48.466558	46.86342
13467985	47.360518	48.887665	47.282758
13960078	48.523494	50.064165	48.445525
14736664	51.320886	52.939769	51.240006
15325586	52.28828	53.916522	52.20728
15863233	52.87284	54.504499	52.791814
16437564	54.637217	56.299999	54.555459
16487609	54.834686	56.497858	54.752927
17031668	57.335658	59.061353	57.251819
17538469	60.620055	62.453545	60.531512
18060948	63.848958	65.786634	63.755945
18262372	64.827049	66.77429	64.733911
18405517	65.777655	67.733932	65.684402
18577351	66.997567	68.968725	66.904073
