SNP	K	H	CF
208650	0	0	0
434712	3.325559	3.436071	3.320677
1512987	10.154421	10.729824	10.107854
1782389	11.438786	12.030683	11.391936
2103325	11.438786	12.030683	11.391936
2383725	11.658049	12.250427	11.611198
4169509	11.779357	12.371882	11.732505
5643991	17.353417	18.256002	17.283757
6293204	23.573772	24.862291	23.472509
6718256	30.24211	31.973984	30.102
7724867	38.265248	40.638087	38.057999
7934924	39.538793	41.927849	39.331269
8585617	40.896956	43.304455	40.689098
9575956	42.827533	45.272295	42.618717
10089916	44.916067	47.404436	44.706039
10346818	45.742028	48.237218	45.531924
10607774	46.640987	49.144258	46.430786
11017270	49.038956	51.599708	48.826921
11559979	51.389796	54.005792	51.176033
12439446	54.848398	57.583918	54.629145
12976051	56.108077	58.859463	55.888557
13788227	57.707039	60.483987	57.486975
13960078	57.707039	60.483988	57.486975
14035762	58.157465	60.936442	57.937388
14736664	59.060493	61.847624	58.840318
14957828	59.963549	62.758836	59.743277
15325586	60.188446	62.984238	59.968172
16102064	61.250284	64.05735	61.02985
16487609	61.710096	64.519276	61.489649
17325108	64.071284	66.936196	63.849086
18060948	67.363718	70.336953	67.136782
18262372	68.069542	71.047759	67.842559
18405517	68.657453	71.639126	68.430443
18577351	69.519232	72.508331	69.292137
