SNP	K	H	CF
208650	0	0	0
1512987	10.51417	11.6116	10.36572
2103325	13.59004	14.78201	13.43771
2383725	13.59004	14.78201	13.43771
3002169	14.06276	15.25697	13.91042
3370742	14.06276	15.25697	13.91042
3400397	14.24404	15.43858	14.0917
3903294	14.24404	15.43858	14.0917
5196578	14.58048	15.77615	14.42814
5931550	20.09982	21.5995	19.92533
6293204	21.10076	22.61046	20.92613
7340898	27.68059	29.622	27.46863
7934924	31.06603	33.12196	30.84892
9575956	37.27812	39.71895	37.02952
10346818	41.7273	44.36583	41.46705
10607774	42.3918	45.03475	42.13152
11017270	45.02813	47.74054	44.76541
11320394	46.3297	49.05906	46.06669
12118475	52.38008	55.47461	52.08796
12439446	54.2929	57.42401	53.99985
13467985	57.45065	60.68141	57.15342
13788227	57.92141	61.15439	57.62417
14736664	61.59946	64.96759	61.29562
14957828	63.72321	67.13644	63.4181
15325586	64.01593	67.43001	63.71081
15863233	64.86078	68.282	64.55557
16102064	65.3199	68.74322	65.01468
16437564	66.94883	70.39868	66.64304
17325108	70.97635	74.58824	70.6619
17538469	72.44794	76.08149	72.13307
18405517	77.88371	81.81215	77.54768
18577351	79.31041	83.2592	78.97399
