SNP	K	H	CF
208650	0	0	0
945976	4.700252	4.920851	4.686528
1512987	6.943632	7.214541	6.928405
1782389	10.595319	10.999459	10.573635
2103325	10.595319	10.999459	10.573635
2775749	10.717589	11.121878	10.695904
3002169	11.948297	12.367731	11.926364
3370742	12.070568	12.490151	12.048634
3903294	12.170403	12.590086	12.148469
5196578	14.564937	15.041936	14.541177
7340898	31.77901	35.1625	31.146072
7724867	34.128648	37.567326	33.493984
7934924	34.741589	38.184023	34.106894
8034821	35.108894	38.552677	34.474192
8585617	36.710802	40.180243	36.075553
9167906	38.064482	41.552245	37.428903
9575956	39.170632	42.670629	38.534872
10089916	39.920834	43.426459	39.285018
10607774	42.98054	46.579724	42.340918
11320394	47.293866	51.078868	46.643624
11559979	47.867076	51.655364	47.216809
12118475	48.418832	52.210164	47.768543
12439446	48.970525	52.764901	48.320213
13788227	50.449502	54.265748	49.798759
13960078	50.892924	54.711136	50.24217
14035762	51.166157	54.985115	50.515399
15863233	54.111585	58.017249	53.457432
16437564	54.478943	58.385957	53.824784
16487609	54.757401	58.66519	54.103239
17325108	58.405424	62.446176	57.744823
17538469	59.733545	63.791934	59.072632
18262372	61.558298	65.649976	60.896575
18405517	62.065472	66.159723	61.403733
