SNP	K	H	CF
208650	0	0	0
434712	3.009036	3.099524	3.005416
2103325	9.428261	9.929687	9.389944
3002169	9.428261	9.929687	9.389944
4169509	9.563193	10.064801	9.524875
5643991	15.986452	16.899512	15.913371
6293204	21.843688	23.099039	21.744176
7340898	27.729111	29.330047	27.602788
7724867	30.708022	32.397645	30.578188
8034821	31.9819	33.687749	31.851791
8585617	33.489139	35.217702	33.358573
10346818	41.058467	43.357802	40.871367
11017270	44.080366	46.470964	43.8896
11559979	45.065628	47.465933	44.874735
12439446	49.289345	51.867836	49.088477
13467985	50.902211	53.506711	50.700784
13788227	51.26046	53.866243	51.059027
13960078	51.819704	54.428615	51.618247
14736664	54.077074	56.736925	53.874087
15325586	55.350223	58.026281	55.14696
16102064	56.740116	59.435489	56.536496
16437564	58.246769	60.964839	58.042693
16487609	58.607408	61.326779	58.403326
17031668	60.914945	63.687544	60.709228
17538469	63.440064	66.276399	63.232206
18060948	66.973318	69.934387	66.759608
18405517	67.690823	70.657041	67.477064
